22;331;35c;490;
2c;330;35a;2264;
2c;332;359;2810;
2d;332;358;2db0;
2e;331;358;3354;
2e;332;35c;38f8;
2f;331;359;3ea0;
30;331;359;4444;
30;332;358;49e8;
32;330;358;4f8c;
32;333;35b;5534;
33;331;359;5ad8;
34;32f;357;607c;
35;332;359;6620;
36;332;358;6bc8;
36;334;357;716c;
37;331;35a;7710;
38;332;357;7cb4;
39;330;359;825c;
3a;330;353;8804;
3b;335;359;8da4;
3b;333;357;9348;
3d;32e;358;98f0;
3e;331;357;9e94;
3f;332;357;a438;
40;330;355;a9dc;
40;330;356;af84;
41;332;355;b528;
42;330;356;bacc;
43;331;358;c070;
44;32e;352;c618;
45;32f;355;cbbc;
46;330;355;d160;
47;32f;353;d704;
48;330;354;dcac;
49;333;355;e250;
4a;32f;355;e7f4;
4c;330;355;ed98;
4c;330;352;f340;
4d;330;353;f8e4;
4e;330;353;fe88;
50;32f;34f;42c;
50;32e;352;97c;
51;332;352;ecc;
53;331;351;1420;
53;32e;352;19c4;
54;32d;350;1f68;
56;331;34f;250c;
56;32e;350;2ab0;
58;32b;351;3058;
59;32d;351;35fc;
5a;32d;351;3ba0;
5c;329;34f;4144;
5d;32c;34f;46ec;
5d;32c;34e;4c90;
5e;327;34e;5234;
60;328;34e;57d8;
61;32a;34f;5d80;
62;328;34e;6324;
64;32b;34d;68c8;
64;328;34c;6e6c;
66;328;34e;7418;
67;328;34b;79b8;
68;328;34a;7f5c;
6a;324;34c;8500;
6b;327;34c;8aa8;
6b;326;349;904c;
6d;328;34d;95f0;
6e;329;34a;9b94;
6f;328;34b;a13c;
71;327;34c;a6e0;
72;327;347;ac84;
73;327;348;b228;
73;326;346;b7d0;
75;32b;345;bd74;
76;326;347;c318;
78;323;346;c8bc;
79;327;344;ce64;
79;323;346;d40c;
7b;323;344;d9ac;
7c;324;344;df50;
7d;324;343;e4f8;
7f;324;346;ea9c;
81;324;344;f040;
81;324;343;f5e4;
82;323;341;fb8c;
84;324;340;130;
85;323;340;680;
86;321;341;bd0;
86;320;342;1120;
88;322;33f;16c4;
8a;31f;33f;1c68;
8b;321;340;2210;
8c;323;342;27b4;
8d;31e;33e;2d58;
8f;321;33d;32fc;
90;322;33d;38a4;
91;31f;33d;3e48;
92;321;33d;43ec;
92;320;33c;4990;
95;31f;33a;4f38;
95;322;339;54dc;
95;31f;337;5a80;
97;31f;33a;6024;
99;320;338;65cc;
99;31e;338;6b70;
9c;31e;339;7114;
9c;31e;337;76b8;
9d;31f;338;7c60;
9f;321;33a;8204;
a0;321;338;87a8;
a0;31f;336;8d4c;
a2;321;337;92f4;
a3;320;335;9898;
a4;31f;337;9e3c;
