
;32d;34a;d3bc;
8a;323;35d;b1b8;
8d;322;359;b760;
91;31f;35c;bd04;
97;322;35c;c2a8;
9c;31e;358;c84c;
a0;319;357;cdf4;
a5;31b;356;d398;
a9;31b;357;d93c;
ad;31c;355;dee0;
b2;317;354;e488;
b5;317;350;ea2c;
b9;316;351;efd0;
bd;314;350;f574;
c0;314;34c;fb1c;
c4;316;34b;c0;
c6;310;34b;5bc;
c9;314;348;b0c;
cc;315;347;105c;
cf;314;344;1600;
d2;315;343;1ba4;
d4;315;341;2148;
d7;316;33c;26f0;
da;316;33f;2c94;
db;313;33a;3238;
dd;314;338;37dc;
df;314;336;3d84;
e1;314;335;4328;
e1;314;330;48cc;
e4;312;332;4e70;
e5;318;330;541c;
e3;314;32d;59bc;
e6;316;32a;5f60;
e5;318;329;6504;
e4;314;327;6aac;
e6;314;326;7050;
e5;312;322;75f4;
e4;312;322;7b98;
e3;30f;31f;8140;
e2;30f;31f;86e4;
e0;310;31c;8c88;
e0;30f;31a;922c;
dd;30c;319;97d4;
dc;310;317;9d78;
db;30e;318;a31c;
d8;311;317;a8c0;
d6;30f;314;ae68;
d1;30f;315;b410;
d0;30d;315;b9b0;
cd;30e;313;bf54;
ca;30c;315;c4fc;
c7;30e;314;caa0;
c3;30e;312;d044;
c0;30f;316;d5e8;
bd;30f;315;db90;
b8;30e;313;e134;
b4;30e;315;e6d8;
b1;30e;314;ec7c;
ad;311;316;f224;
a8;30e;314;f7c8;
a5;30f;316;fd6c;
a0;30f;315;310;
9c;30b;315;860;
97;30f;316;db0;
93;30e;313;1300;
8e;30c;314;18a8;
8a;30d;316;1e4c;
85;30f;315;23f0;
81;30d;317;2994;
7c;312;316;2f3c;
77;30d;317;34e0;
73;30d;318;3a84;
6e;30c;317;4028;
69;30e;316;45d0;
65;30c;317;4b74;
61;30c;31e;5118;
5c;30e;31b;56bc;
58;30b;31c;5c64;
53;312;31d;6208;
4f;30f;31d;67ac;
4b;30f;321;6d50;
48;310;326;72f8;
44;312;325;789c;
3f;311;326;7e40;
3c;310;32a;83e4;
39;314;32a;898c;
35;311;32d;8f30;
32;315;32d;94d4;
30;319;331;9a78;
2b;312;332;a020;
2a;316;333;a5c4;
27;319;339;ab68;
25;319;338;b10c;
22;31b;339;b6b4;
20;31d;33b;bc58;
1f;31c;33c;c1fc;
1e;31e;33e;c7a0;
1c;324;341;cd48;
1c;321;344;d2ec;
1b;329;344;d890;
19;328;343;de34;
19;32b;346;e3dc;
19;32b;34c;e980;
19;32e;34b;ef24;
17;330;34e;f4c8;
1a;331;34d;fa70;
19;330;350;18;
19;332;350;510;
1c;331;352;a60;
1c;330;354;fb0;
1d;334;354;1500;
1f;332;356;1aa4;
21;333;357;2048;
23;335;354;25ec;
25;332;359;2b94;
27;333;35a;3138;
29;334;35b;36dc;
2c;334;357;3c80;
2f;333;35b;4228;
31;334;35d;47cc;
35;333;35e;4d70;
38;333;35d;5314;
3b;334;35f;58bc;
3f;335;35e;5e60;
43;334;35f;640c;
46;334;360;69a8;
4b;333;35e;6f50;
4f;332;35d;74f4;
53;334;35d;7a98;
57;333;360;803c;
5c;332;361;85e4;
60;332;35f;8b88;
65;32b;35f;912c;
69;32d;360;96d0;
6d;32d;35e;9c78;
72;32c;35e;a21c;
77;32d;362;a7c0;
7a;329;35e;ad64;
7f;328;35f;b30c;
84;324;35e;b8b0;
89;326;35b;be54;
8d;322;35d;c3f8;
92;320;35b;c9a0;
97;321;35a;cf44;
9b;31d;35a;d4e8;
a0;319;357;da8c;
a4;31c;358;e034;
a9;318;356;e5d8;
ad;319;357;eb7c;
b1;317;353;f120;
b5;316;353;f6c8;
