
;32d;34a;d3bc;
89;323;35b;cc54;
8e;325;35e;d1f8;
93;31e;359;d7a0;
97;320;359;dd44;
9b;31f;35a;e2e8;
a0;31c;358;e88c;
a4;31c;359;ee34;
a9;31c;355;f3d8;
ad;31d;354;f97c;
b1;319;351;ff20;
b6;319;353;4c8;
b9;319;350;a18;
bd;318;34b;f68;
c0;319;34b;14b8;
c4;318;349;1a5c;
c7;318;349;2008;
c9;316;347;25a4;
cc;316;344;2b4c;
d0;316;340;30f0;
d2;315;340;3694;
d6;313;33e;3c38;
d8;315;33f;41e0;
da;316;339;4784;
dc;311;33a;4d28;
de;317;335;52cc;
e0;312;335;5874;
e1;312;334;5e18;
e3;313;330;63bc;
e3;311;32e;6960;
e3;310;32b;6f08;
e4;311;329;74ac;
e4;311;329;7a50;
e5;312;323;7ff4;
e5;310;325;859c;
e5;30e;322;8b40;
e5;30b;320;90e4;
e5;309;320;9688;
e4;30a;31e;9c30;
e1;305;31f;a1d4;
e1;305;319;a778;
df;303;319;ad1c;
de;303;317;b2c4;
db;303;316;b868;
da;304;316;be0c;
d8;301;315;c3b0;
d5;303;314;c958;
d3;2ff;313;cefc;
d0;303;311;d4a0;
cd;303;311;da44;
ca;2fd;312;dfec;
c5;2ff;313;e590;
c2;302;311;eb34;
c0;305;315;f0d8;
bb;302;312;f680;
b7;302;311;fc24;
b4;306;311;1c8;
b0;302;311;718;
ad;300;314;c68;
a9;302;315;11b8;
a4;302;314;175c;
a0;301;315;1d04;
9b;301;311;22a8;
97;301;314;284c;
93;305;313;2df0;
8d;303;316;3398;
89;303;315;393c;
85;306;313;3ee0;
80;301;315;4484;
7b;306;315;4a2c;
77;304;315;4fd0;
73;303;315;5574;
6e;302;316;5b18;
69;304;318;60c0;
65;303;319;6664;
60;304;319;6c10;
5b;304;31a;71ac;
57;302;31c;7754;
53;303;31d;7cf8;
4f;304;31c;829c;
4b;307;321;8840;
48;307;322;8de8;
43;30a;325;938c;
3f;30c;326;9930;
3c;30b;328;9ed4;
38;30c;32a;a47c;
34;310;32c;aa20;
32;313;32c;afc4;
2f;315;32f;b568;
2c;318;333;bb10;
2a;319;334;c0b4;
27;31c;337;c658;
25;31f;338;cbfc;
23;320;33a;d1a4;
21;324;33c;d748;
1f;324;340;dcec;
1d;326;340;e290;
1c;329;341;e838;
1a;328;344;eddc;
1b;32a;344;f380;
19;32e;345;f924;
19;32d;348;fecc;
1a;330;348;470;
19;331;34e;9c0;
18;332;349;f10;
18;330;34d;1460;
1a;331;350;1a04;
1a;331;352;1fa8;
1c;333;353;2550;
1d;333;353;2af4;
1e;333;353;3098;
20;333;354;363c;
21;333;356;3be4;
23;330;35b;4188;
25;332;358;472c;
28;334;359;4cd0;
2b;333;35b;5278;
2c;332;35b;5820;
2f;334;35a;5dc0;
32;331;35e;6364;
36;333;35d;690c;
39;334;35b;6eb0;
3c;330;360;7454;
40;331;35e;79f8;
43;332;35d;7fa0;
48;331;35f;8544;
4c;332;360;8ae8;
50;32f;35e;908c;
54;330;35d;9634;
58;32f;360;9bd8;
5c;32d;35d;a17c;
61;32e;360;a720;
66;32c;35e;acc8;
6a;32b;35e;b26c;
6f;329;35f;b818;
73;329;362;bdb4;
77;328;35e;c35c;
7d;326;35c;c900;
81;326;35b;cea4;
85;324;359;d448;
8a;325;35e;d9f0;
8e;325;35c;df94;
93;321;35c;e538;
99;320;359;eadc;
9d;31d;358;f084;
a0;31c;355;f628;
a5;319;355;fbcc;
aa;31a;353;170;
ae;31b;355;6c0;
b1;319;353;c18;
b5;318;350;1160;
b9;318;34d;1708;
bd;319;34f;1cac;
c0;317;34c;2250;
c4;316;34a;27f4;
c7;314;348;2d9c;
cb;318;348;3340;
cd;318;344;38e4;
cf;316;341;3e88;
d2;317;340;4430;
d6;318;33c;49d4;
d8;315;33d;4f78;
da;319;33b;551c;
dc;316;339;5ac4;
de;315;338;6068;
e0;315;335;660c;
e1;314;332;6bb0;
e3;312;331;7158;
e4;312;32f;76fc;
e4;314;32b;7ca0;
e4;30d;32b;8244;
e4;30e;328;87ec;
e6;30d;324;8d90;
e5;30b;323;9334;
e4;306;320;98d8;
e5;309;322;9e80;
e3;306;31e;a424;
e2;303;31e;a9c8;
e2;302;319;af6c;
e0;301;31d;b514;
df;300;318;bab8;
de;304;315;c05c;
dc;302;316;c600;
da;302;312;cba8;
d7;303;317;d14c;
d4;301;315;d6f0;
d3;302;312;dc94;
cf;301;313;e23c;
cd;302;313;e7e0;
ca;302;311;ed84;
c6;303;311;f328;
c2;302;313;f8d0;
bf;303;314;fe74;
bb;301;313;420;
b7;2ff;312;968;
b5;302;312;eb8;
b1;301;311;1410;
ac;303;312;19ac;
a8;302;311;1f54;
a3;302;312;24f8;
9f;300;313;2a9c;
9b;2ff;312;3040;
96;302;311;35e8;
92;302;312;3b8c;
8e;301;316;4130;
88;302;312;46d4;
84;303;315;4c7c;
7f;301;316;5220;
7a;302;313;57c4;
76;303;316;5d68;
72;301;315;6310;
6c;302;319;68b4;
69;305;317;6e58;
64;304;318;73fc;
5f;305;31b;79a4;
5b;304;31c;7f48;
57;303;31d;84ec;
52;304;31c;8a90;
4e;304;31f;9038;
4b;303;321;95dc;
46;309;321;9b80;
43;308;324;a124;
3f;30a;326;a6cc;
3b;30e;32a;ac70;
37;311;32e;b214;
35;30f;32c;b7b8;
31;315;32d;bd60;
2f;314;330;c304;
2c;318;332;c8a8;
29;317;335;ce4c;
26;31b;339;d3f4;
25;31d;337;d998;
22;322;339;df3c;
21;322;33b;e4e0;
1f;325;33d;ea88;
1d;326;33f;f02c;
1c;328;33f;f5d0;
1c;32a;346;fb74;
1a;32c;347;11c;
19;32c;345;66c;
18;331;348;bbc;
19;332;349;110c;
18;32f;34d;16b0;
19;331;34d;1c54;
19;330;34d;21f8;
19;331;351;27a0;
1b;333;350;2d44;
1b;334;353;32e8;
1d;330;352;388c;
1e;332;355;3e34;
1f;336;352;43d8;
22;333;358;497c;
24;331;355;4f20;
25;334;359;54c8;
28;331;358;5a6c;
2a;333;35b;6018;
2d;332;35a;65b4;
31;333;35c;6b5c;
33;332;35e;7100;
37;334;35c;76a4;
39;334;35b;7c48;
3d;32f;35e;81f0;
40;332;35f;8794;
43;330;362;8d38;
49;330;35f;92dc;
4c;332;360;9884;
50;330;35b;9e28;
55;32f;35e;a3cc;
58;32f;35f;a970;
5d;32e;35f;af18;
61;334;35d;b4bc;
66;32b;35f;ba60;
6a;32b;360;c00c;
6f;32a;35b;c5ac;
74;328;35f;cb50;
79;326;35e;d0f4;
7c;329;35d;d698;
81;325;35f;dc40;
87;321;35d;e1e4;
8b;322;35b;e788;
8f;322;359;ed2c;
94;31e;35b;f2d4;
99;31f;35a;f878;
9d;31e;356;fe1c;
a1;31b;357;3c0;
a6;31e;359;910;
a9;31a;354;e60;
ad;31a;353;13b0;
b1;315;354;1958;
b6;31c;352;1efc;
ba;31b;350;24a0;
bd;31b;34c;2a44;
c0;317;34d;2fec;
c4;317;34b;3590;
c7;319;348;3b34;
cb;319;346;40d8;
ce;319;343;4680;
d0;318;341;4c24;
d4;318;340;51c8;
d6;319;33e;576c;
d9;31a;33d;5d14;
db;317;339;62b8;
dd;313;339;685c;
de;316;338;6e00;
e0;314;332;73a8;
e1;311;332;794c;
e3;310;331;7ef0;
e4;311;330;8494;
e4;310;32c;8a3c;
e5;30e;32a;8fe0;
e5;30c;328;9584;
e4;30e;327;9b28;
e6;309;324;a0d0;
e4;309;321;a674;
e5;302;321;ac20;
e3;303;31e;b1bc;
e3;305;31c;b764;
e2;300;31c;bd08;
df;302;318;c2ac;
dd;303;31b;c850;
dd;301;319;cdf8;
db;304;318;d39c;
da;303;315;d940;
d6;301;314;dee4;
d5;303;313;e48c;
d1;302;313;ea30;
cf;302;313;efd4;
cc;301;313;f578;
c9;300;313;fb20;
c7;301;312;c4;
c2;301;311;5c0;
c0;302;311;b10;
bc;300;312;1060;
b8;301;310;1604;
b4;2ff;313;1ba8;
b1;302;311;214c;
ab;303;313;26f4;
a8;303;312;2c98;
a4;301;314;323c;
a0;303;311;37e0;
9a;302;316;3d88;
96;301;313;432c;
92;301;313;48d0;
8d;300;316;4e74;
89;303;311;5420;
83;304;315;59c0;
80;300;315;5f64;
7b;301;316;6508;
76;305;316;6ab0;
72;302;318;7054;
6d;302;319;75f8;
69;304;316;7b9c;
64;301;319;8144;
5f;304;31c;86e8;
5b;307;31b;8c8c;
57;305;31d;9230;
53;303;31d;97d8;
4d;307;31e;9d7c;
4a;308;322;a320;
47;307;326;a8c4;
43;308;325;ae6c;
3e;30b;325;b414;
3c;30d;32c;b9b4;
37;30f;329;bf58;
35;30d;32f;c500;
31;313;32f;caa4;
2f;317;331;d048;
2b;316;32f;d5ec;
29;31b;335;db94;
27;31d;339;e138;
25;31f;338;e6dc;
22;31f;33a;ec80;
20;321;33c;f228;
1f;325;342;f7cc;
1e;327;340;fd70;
1d;32a;341;314;
1c;32b;343;864;
1b;32d;345;db4;
19;330;347;1304;
18;32d;348;18ac;
19;331;349;1e50;
19;331;34b;23f4;
19;331;34b;2998;
1a;331;34f;2f40;
19;336;351;34e4;
1a;334;352;3a88;
1c;333;353;402c;
1c;334;353;45d4;
1e;332;355;4b78;
21;332;355;511c;
21;333;359;56c0;
23;330;356;5c68;
25;333;35c;620c;
27;334;359;67b0;
2b;331;35a;6d54;
2d;331;358;72fc;
2f;332;359;78a0;
33;333;35d;7e44;
36;32f;35e;83e8;
39;332;35b;8990;
3d;333;35f;8f34;
41;333;360;94d8;
44;332;35e;9a7c;
48;332;35e;a024;
4d;332;35f;a5c8;
50;331;35c;ab6c;
55;330;35a;b110;
59;32f;35f;b6b8;
5d;32f;35e;bc5c;
62;32e;360;c200;
66;32b;35d;c7a4;
6b;32c;35f;cd4c;
6f;329;35d;d2f0;
73;325;35c;d894;
78;328;35e;de38;
7c;326;35f;e3e0;
82;326;35d;e984;
86;327;35d;ef28;
8a;323;35b;f4cc;
8f;320;359;fa74;
94;320;35a;1c;
97;320;35a;514;
9c;31c;357;a64;
a0;31c;358;fb4;
a4;31c;357;1504;
a9;31d;359;1aa8;
ad;31b;354;204c;
b2;318;353;25f0;
b5;317;351;2b98;
b9;316;34d;313c;
bc;317;34c;36e0;
c1;319;34c;3c84;
c4;31b;349;422c;
c7;319;348;47d0;
ca;318;346;4d74;
cc;314;346;5318;
cf;317;341;58c0;
d2;318;342;5e64;
d6;317;33c;6410;
d8;318;33d;69ac;
da;311;33b;6f54;
db;314;338;74f8;
dd;314;334;7a9c;
e0;314;332;8040;
e0;310;330;85e8;
e1;311;330;8b8c;
e4;311;32d;9130;
e4;312;32a;96d4;
e5;30d;328;9c7c;
e6;30d;328;a220;
e5;30d;326;a7c4;
e6;30a;325;ad68;
e5;308;321;b310;
e5;30a;31f;b8b4;
e4;304;31e;be58;
e3;304;31e;c3fc;
e3;301;31b;c9a4;
e1;303;317;cf48;
df;301;319;d4ec;
dd;302;31a;da90;
dc;302;317;e038;
da;300;315;e5dc;
d7;2fe;316;eb80;
d5;302;313;f124;
d1;302;312;f6cc;
d0;301;311;fc70;
cc;301;30f;214;
ca;300;312;764;
c7;301;313;cb4;
c3;302;311;1204;
c0;302;312;17a8;
bd;301;314;1d50;
b8;301;314;22f4;
b5;301;314;2898;
b1;303;314;2e3c;
ac;302;313;33e4;
a8;301;316;3988;
a3;303;313;3f2c;
a0;303;311;44d0;
9c;301;316;4a78;
97;301;314;5020;
92;301;313;55c0;
8d;2fd;312;5b64;
88;302;311;610c;
84;303;314;66b0;
80;303;317;6c54;
7b;301;317;71f8;
76;302;317;77a0;
72;302;317;7d44;
6d;300;31a;82e8;
67;301;319;888c;
64;301;31a;8e34;
5f;302;31c;93d8;
5b;304;31b;997c;
56;304;31e;9f20;
52;303;31e;a4c8;
4f;307;31f;aa6c;
4b;305;31e;b018;
47;309;326;b5b4;
43;308;323;bb5c;
3f;30d;32b;c100;
3c;30b;328;c6a4;
38;30e;32b;cc48;
35;30e;32c;d1f0;
31;312;331;d794;
2e;316;32f;dd38;
2c;317;331;e2dc;
29;319;333;e884;
27;31d;335;ee28;
25;31f;336;f3cc;
22;321;33a;f970;
21;323;339;ff18;
1f;323;33f;4bc;
1d;326;33f;a0c;
1c;329;340;f5c;
1b;329;344;14ac;
1a;32f;342;1a50;
19;32c;343;1ff4;
1a;32d;346;259c;
18;32d;34a;2b40;
19;32f;34b;30e4;
19;331;34e;3688;
19;334;34d;3c30;
1a;336;352;41d4;
1a;334;352;4778;
1c;333;354;4d1c;
1c;334;354;52c4;
1e;332;356;5868;
20;331;356;5e0c;
22;333;356;63b0;
23;32d;357;6958;
26;333;35a;6efc;
28;334;359;74a0;
2a;331;35b;7a44;
2d;333;35d;7fec;
30;334;359;8590;
33;331;35e;8b34;
36;331;35c;90d8;
39;331;35c;9680;
3d;331;35e;9c24;
40;331;35c;a1c8;
44;331;35d;a76c;
48;331;35d;ad14;
4c;332;35f;b2b8;
50;330;35e;b85c;
54;32e;361;be00;
59;32e;361;c3a8;
5c;32e;35f;c94c;
61;32c;360;cef0;
66;32b;35f;d494;
69;32d;361;da3c;
6f;329;35d;dfe0;
74;329;360;e584;
78;329;35d;eb28;
7d;329;35e;f0d0;
82;328;35b;f674;
85;327;35e;fc20;
8a;327;35b;1bc;
8e;322;359;70c;
93;31f;357;c5c;
97;321;35a;11ac;
9b;31e;358;1754;
a0;31d;357;1cf8;
a4;31b;357;229c;
aa;31a;356;2840;
ad;319;354;2de8;
b2;317;354;338c;
b6;317;34f;3930;
b9;31a;34e;3ed4;
bd;313;34e;447c;
c1;316;34d;4a20;
c4;315;349;4fc4;
c7;318;348;5568;
ca;315;345;5b10;
cc;317;343;60b4;
d0;317;343;6658;
d3;319;33f;6bfc;
d6;317;33e;71a4;
d8;314;33c;7748;
db;315;33a;7cec;
dc;315;338;8290;
dd;314;336;8838;
df;316;336;8ddc;
e1;311;32f;9380;
e1;311;330;9924;
e4;310;32c;9ecc;
e4;310;328;a470;
e4;30f;329;aa14;
e5;30c;327;afb8;
e4;30f;323;b560;
e4;30f;325;bb04;
e5;309;322;c0a8;
e4;306;31e;c64c;
e4;304;322;cbf4;
e3;302;31e;d198;
e1;304;31a;d73c;
e0;303;31a;dce0;
de;301;319;e288;
dd;306;317;e82c;
db;301;314;edd0;
d9;302;313;f374;
d7;301;316;f91c;
d5;302;315;fec0;
d2;304;314;464;
cf;302;314;9b4;
cc;304;312;f04;
ca;303;314;1454;
c6;302;311;19f8;
c3;301;311;1fa0;
bf;303;312;2544;
bb;302;311;2ae8;
b8;302;311;308c;
b5;301;313;3634;
b1;303;314;3bd8;
ac;2ff;313;417c;
a8;302;314;4720;
a4;302;310;4cc8;
9f;2ff;312;526c;
9b;302;313;5818;
96;302;30f;5db4;
92;301;314;635c;
8d;300;314;6900;
88;304;312;6ea4;
83;303;315;7448;
7f;305;316;79f0;
7a;302;315;7f94;
75;304;317;8538;
71;2ff;319;8adc;
6c;303;317;9084;
68;304;319;9628;
63;301;31c;9bcc;
5f;305;319;a170;
5b;301;31b;a718;
56;306;31e;acbc;
52;305;31d;b260;
4f;305;320;b80c;
4a;307;325;bdac;
45;30e;321;c350;
42;30c;326;c8f4;
40;30b;327;ce98;
3b;30e;328;d440;
38;30d;32c;d9e4;
35;30f;32f;df88;
31;312;32d;e52c;
2e;311;331;ead4;
2c;317;334;f078;
29;31a;335;f61c;
26;31e;335;fbc0;
24;31d;338;168;
23;31e;33b;6b8;
21;324;33b;c0c;
1f;322;33c;1158;
1d;327;33f;16fc;
1c;328;33f;1ca0;
1b;32b;343;2244;
1a;32c;344;27ec;
19;32d;348;2d90;
19;32e;349;3334;
18;330;34a;38d8;
18;32e;34d;3e80;
19;32e;34d;4424;
19;336;351;49c8;
1a;32f;351;4f6c;
1a;332;351;5514;
1b;335;355;5ab8;
1c;333;352;605c;
1e;335;357;6600;
1f;334;355;6ba8;
22;331;357;714c;
24;333;359;76f0;
25;334;358;7c94;
28;331;359;823c;
2a;333;35c;87e0;
2d;334;35a;8d84;
30;334;35b;9328;
33;333;35c;98d0;
36;334;35d;9e74;
3a;335;35d;a420;
3d;333;35f;a9bc;
40;334;360;af64;
44;334;35f;b508;
49;333;360;baac;
4b;332;35f;c050;
51;331;363;c5f8;
55;330;35f;cb9c;
58;32e;35d;d140;
5e;32d;35d;d6e4;
61;32f;360;dc8c;
66;32c;35e;e230;
6b;327;362;e7d4;
70;32a;35d;ed78;
73;327;35e;f320;
78;327;35d;f8c4;
7e;326;360;fe68;
82;324;35b;414;
87;323;35d;95c;
8b;322;35d;eac;
8f;323;35c;13fc;
94;31f;359;19a4;
98;31d;359;1f48;
9c;320;358;24ec;
a0;31e;359;2a90;
a6;31b;358;3038;
a9;31a;355;35dc;
ae;31a;352;3b80;
b2;319;352;4124;
b5;31a;350;46cc;
b9;318;351;4c70;
bd;31a;34c;5214;
c1;319;34b;57b8;
c4;318;349;5d60;
c8;317;348;6304;
cb;317;345;68a8;
cf;317;344;6e4c;
d1;318;342;73f4;
d4;315;341;7998;
d6;315;33f;7f3c;
d9;316;339;84e0;
da;314;339;8a88;
dd;314;336;902c;
df;313;336;95d0;
e0;314;333;9b74;
e1;312;333;a11c;
e3;312;32e;a6c0;
e3;311;32e;ac64;
e4;312;32a;b208;
e5;311;32b;b7b0;
e5;30b;324;bd54;
e5;30e;324;c2f8;
e5;309;324;c89c;
e5;30b;323;ce44;
e5;30a;320;d3e8;
e4;30a;31f;d98c;
e4;307;31d;df30;
e2;301;31d;e4d8;
e1;304;318;ea7c;
de;301;318;f020;
dd;301;317;f5c4;
dc;304;315;fb6c;
da;301;312;110;
d8;301;314;660;
d5;303;317;bb0;
d3;303;311;1100;
cf;302;314;16a4;
cd;301;316;1c48;
c9;304;313;21f0;
c7;301;313;2794;
c3;305;314;2d38;
c0;300;311;32dc;
bc;302;312;3884;
b8;302;311;3e28;
b4;302;311;43cc;
af;300;312;4970;
ab;301;314;4f18;
a7;304;311;54bc;
a3;302;316;5a60;
9e;305;311;600c;
9a;306;314;65ac;
95;302;313;6b50;
91;302;314;70f4;
8d;304;313;7698;
89;302;314;7c40;
83;303;314;81e4;
7e;304;315;8788;
7a;301;317;8d2c;
76;2ff;318;92d4;
71;302;316;9878;
6d;302;317;9e1c;
68;301;31a;a3c0;
63;304;318;a968;
5f;303;31c;af0c;
5b;305;31c;b4b0;
55;306;31f;ba54;
52;305;31f;bffc;
4e;307;31e;c5a0;
4a;307;322;cb44;
46;308;323;d0e8;
43;30a;325;d690;
3f;30c;327;dc34;
3a;30e;32a;e1d8;
38;30f;32c;e77c;
34;310;32d;ed24;
31;314;331;f2c8;
2e;316;331;f86c;
2b;319;331;fe10;
29;318;335;3b8;
27;31d;334;908;
25;322;337;e58;
22;322;33c;13a8;
20;322;33a;194c;
1f;326;33a;1ef0;
1d;327;340;2494;
1c;329;345;2a3c;
1b;32a;341;2fe0;
1a;32f;346;3584;
19;32f;347;3b28;
19;32e;349;40d0;
19;330;34b;4674;
19;32f;34b;4c20;
19;331;34d;51bc;
1a;330;350;5764;
1a;331;351;5d08;
1a;332;355;62ac;
1b;332;351;6850;
1d;331;354;6df8;
1e;332;355;739c;
20;332;356;7940;
22;332;355;7ee4;
23;334;35a;848c;
25;332;35a;8a30;
28;331;359;8fd4;
2b;334;359;9578;
2e;332;357;9b20;
30;332;35d;a0c4;
33;332;35d;a668;
36;332;35e;ac14;
3a;335;35b;b1b4;
3d;331;35d;b758;
42;333;361;bcfc;
44;331;361;c2a0;
49;332;35e;c848;
4d;331;35e;cdec;
51;332;35f;d390;
55;32e;35f;d934;
5a;330;35b;dedc;
5d;32e;360;e480;
62;32e;35e;ea24;
66;32d;361;efc8;
6b;329;360;f570;
6f;32a;35e;fb14;
74;327;35b;b8;
78;325;35e;5b4;
7d;327;35b;b04;
81;325;35c;1054;
86;325;35b;15f8;
8a;324;35d;1b9c;
8e;323;35c;2144;
93;322;35c;26e8;
98;320;359;2c8c;
9c;31e;359;3230;
a1;31d;355;37d8;
a5;31c;355;3d7c;
aa;318;357;4320;
ad;318;357;48c4;
b1;319;353;4e6c;
b6;31a;351;5414;
b9;316;34e;59b4;
be;318;34e;5f58;
c0;316;34c;6500;
c4;318;349;6aa4;
c8;317;348;7048;
cb;319;347;75ec;
cd;317;344;7b94;
d1;316;344;8138;
d3;316;340;86dc;
d6;316;33d;8c80;
d8;315;33d;9228;
db;315;33a;97cc;
dd;314;335;9d70;
df;315;335;a314;
df;315;335;a8bc;
e2;313;331;ae60;
e2;311;330;b40c;
e4;311;32d;b9a8;
e4;311;329;bf50;
e4;30f;329;c4f4;
e5;30c;328;ca98;
e4;30f;324;d03c;
e5;309;324;d5e4;
e4;30e;322;db88;
e5;30a;31e;e12c;
e4;308;31f;e6d0;
e2;306;31e;ec78;
e1;306;31b;f21c;
e1;304;31a;f7c0;
df;302;318;fd64;
dd;304;318;30c;
db;302;315;85c;
da;300;317;dac;
d8;304;316;12fc;
d5;304;316;18a0;
d2;307;314;1e44;
cf;302;311;23e8;
cc;304;316;2990;
c9;302;312;2f34;
c6;303;30f;34d8;
c2;303;313;3a7c;
bf;303;312;4024;
bb;303;313;45c8;
b7;2ff;313;4b6c;
b4;300;314;5110;
af;302;312;56b8;
ac;300;313;5c5c;
a7;301;313;6200;
a2;301;311;67a4;
9d;302;313;6d4c;
9a;301;313;72f0;
95;302;311;7894;
91;302;313;7e38;
8c;302;315;83e0;
88;302;313;8984;
83;304;313;8f28;
7f;303;316;94cc;
7a;304;316;9a74;
76;2ff;316;a01c;
71;303;318;a5bc;
6c;303;319;ab60;
67;301;31b;b108;
62;303;319;b6ac;
5e;307;319;bc50;
5a;300;31a;c1f4;
55;306;31d;c79c;
52;308;31e;cd40;
4e;306;322;d2e4;
4a;308;326;d888;
46;30a;321;de30;
42;309;325;e3d4;
3e;30b;326;e978;
3b;30e;329;ef1c;
37;30e;329;f4c4;
34;30f;32d;fa68;
30;312;330;14;
2e;316;333;508;
2d;316;334;a58;
29;319;333;fa8;
26;31f;335;14f8;
25;31d;33a;1a9c;
23;31f;33b;2040;
1f;322;339;25e8;
1f;323;33d;2b8c;
1e;325;340;3130;
1b;32a;33d;36d4;
1c;32b;344;3c7c;
1a;32a;345;4220;
19;32b;343;47c4;
18;32e;346;4d68;
19;330;34b;5310;
18;330;34c;58b4;
19;330;34d;5e58;
19;334;34e;63fc;
19;334;34f;69a4;
1b;331;351;6f48;
1c;331;354;74ec;
1c;332;351;7a90;
1e;331;355;8038;
20;332;356;85dc;
22;334;355;8b80;
23;333;357;9124;
26;333;35b;96cc;
28;334;358;9c70;
2b;333;359;a214;
2d;331;35c;a7b8;
30;334;35d;ad60;
34;331;35e;b304;
36;332;35e;b8a8;
39;333;35b;be4c;
3d;331;35e;c3f4;
41;333;35c;c998;
45;335;35b;cf3c;
48;330;35e;d4e0;
4d;331;35e;da88;
50;331;35f;e02c;
54;32f;35f;e5d0;
59;32e;35f;eb74;
5d;32f;361;f11c;
62;32c;360;f6c0;
66;32b;35d;fc64;
6a;32a;35d;208;
6f;329;35d;758;
72;327;35f;ca8;
78;328;35b;11f8;
7c;326;35d;17a0;
81;325;35e;1d44;
85;325;35e;22e8;
8b;325;35d;288c;
8e;323;35b;2e34;
92;31f;357;33d8;
98;320;35a;397c;
9d;31d;359;3f20;
a1;31e;357;44c8;
a5;31d;357;4a6c;
aa;31b;355;5018;
ac;319;352;55b4;
b1;316;353;5b5c;
b6;317;351;6100;
b8;318;351;66a4;
bc;318;34e;6c48;
c0;317;34c;71f0;
c4;318;34a;7794;
c8;316;348;7d38;
cb;31d;346;82dc;
cd;31a;342;8884;
d0;318;344;8e28;
d4;318;33f;93cc;
d6;315;33c;9970;
d9;315;33c;9f18;
da;317;33a;a4bc;
dc;317;336;aa60;
de;315;335;b00c;
df;314;333;b5ac;
e1;314;330;bb50;
e3;312;330;c0f4;
e4;312;32c;c698;
e5;311;32c;cc40;
e5;310;32a;d1e4;
e5;30d;328;d788;
e4;30c;325;dd2c;
e5;308;326;e2d4;
e5;307;324;e878;
e5;306;31f;ee1c;
e4;305;31e;f3c0;
e3;305;31f;f968;
e2;302;31e;ff0c;
e0;302;31d;4b0;
e0;302;318;a00;
de;301;319;f50;
db;302;318;14a0;
da;300;318;1a44;
d8;304;315;1fec;
d5;301;314;2590;
d2;304;317;2b34;
d0;304;311;30d8;
cd;303;314;3680;
c9;302;313;3c24;
c6;302;311;41c8;
c3;303;313;476c;
c0;305;310;4d14;
bc;302;314;52b8;
b8;300;314;585c;
b4;302;312;5e00;
b0;302;312;63a8;
ac;2ff;315;694c;
a8;2ff;314;6ef0;
a3;303;313;7494;
9f;2ff;314;7a3c;
9b;302;316;7fe0;
96;303;312;8584;
91;304;316;8b28;
8d;303;313;90d0;
88;302;315;9674;
83;300;314;9c20;
7f;302;316;a1bc;
7a;302;317;a764;
76;304;317;ad08;
71;301;314;b2ac;
6c;303;31b;b850;
68;305;319;bdf8;
63;303;319;c39c;
5f;304;319;c940;
5b;304;31b;cee4;
57;306;31d;d48c;
51;306;31c;da30;
4d;305;31f;dfd4;
4a;308;323;e578;
46;30b;324;eb20;
42;308;324;f0c4;
3f;309;325;f668;
3b;30d;328;fc14;
38;30d;32a;1b4;
34;310;32d;704;
31;313;32c;c54;
2f;313;331;11a4;
2d;318;332;1748;
29;31a;331;1cec;
27;31d;335;2290;
24;31e;339;2838;
23;321;339;2ddc;
20;322;33d;3380;
1f;322;33c;3924;
1d;326;33e;3ecc;
1c;328;342;4470;
1c;32a;345;4a14;
1a;32e;345;4fb8;
19;32c;348;5560;
19;32e;348;5b04;
18;32f;349;60a8;
19;330;34c;664c;
19;332;34b;6bf4;
19;330;34d;7198;
1a;331;34e;773c;
1b;331;351;7ce0;
1b;334;353;8288;
1d;332;354;882c;
1e;333;356;8dd0;
1f;333;355;9374;
22;331;358;991c;
24;333;359;9ec0;
25;334;35d;a464;
29;332;35a;aa08;
2a;333;35a;afb0;
2d;332;35a;b554;
30;334;357;baf8;
33;333;35d;c09c;
36;332;35d;c644;
3a;334;35d;cbe8;
3d;332;35c;d18c;
40;332;35d;d730;
44;330;35e;dcd8;
49;32f;35d;e27c;
4c;334;35f;e820;
50;330;35e;edc4;
55;330;35f;f36c;
59;32e;35e;f910;
5e;32d;35e;feb4;
62;32b;35e;458;
65;32a;360;9a8;
6b;32b;361;ef8;
6f;328;35e;1448;
73;329;35d;19f0;
78;327;35f;1f94;
7d;325;35d;2538;
81;326;35e;2adc;
86;321;35a;3084;
8b;323;35a;3628;
8e;320;35b;3bcc;
94;321;358;4170;
99;320;358;4718;
9d;31f;356;4cbc;
a1;31b;356;5260;
a5;31b;355;580c;
aa;31b;356;5dac;
ae;319;354;6350;
b1;31c;350;68f4;
b6;319;351;6e98;
ba;316;352;7440;
bd;317;34c;79e4;
c1;316;347;7f88;
c5;315;347;852c;
c8;317;346;8ad4;
cb;317;345;9078;
cd;316;344;961c;
d1;316;343;9bc0;
d3;317;340;a168;
d7;317;33f;a70c;
d8;316;33b;acb0;
db;315;339;b254;
dd;314;337;b7fc;
df;311;335;bda0;
e0;313;332;c344;
e1;312;333;c8e8;
e3;313;330;ce90;
e3;312;32d;d434;
e4;311;32c;d9d8;
e5;311;328;df7c;
e4;30e;329;e524;
e6;30d;327;eac8;
e6;30f;323;f06c;
e5;30b;321;f610;
e5;30b;321;fbb8;
e3;307;31f;15c;
e2;307;31d;6ac;
e1;304;319;bfc;
df;303;319;114c;
df;301;319;16f0;
de;301;319;1c94;
dc;301;315;223c;
d9;302;315;27e0;
d6;304;315;2d84;
d4;302;314;3328;
d1;302;314;38d0;
d0;2fe;312;3e74;
cc;303;310;4420;
