;04;31a;b1f4;
c4;319;350;a0cc;
c8;316;350;a670;
ce;311;350;ac1c;
d2;30f;34e;b1b8;
d6;310;34c;b760;
db;30f;34b;bd04;
dd;30c;34a;c2a8;
df;30e;346;c84c;
e2;30c;343;cdf4;
e3;30c;344;d398;
e5;30e;341;d93c;
e6;30e;340;dee0;
e6;30a;33d;e488;
e5;30d;33b;ea2c;
e3;30f;336;efd0;
e2;310;335;f574;
df;30e;336;fb1c;
dd;311;332;c0;
da;309;32d;5bc;
d7;30d;32a;b0c;
d3;30c;32a;105c;
cf;30c;326;1600;
ca;30a;326;1ba4;
c5;30b;324;2148;
bf;30e;321;26f0;
ba;30b;321;2c94;
b3;30c;320;3238;
ac;30f;31d;37dc;
a5;30b;31c;3d84;
9e;30c;31b;4328;
97;30b;31b;48cc;
90;30c;31a;4e70;
89;30d;319;541c;
81;30e;31d;59bc;
79;30c;31b;5f60;
73;30a;31c;6504;
6b;30d;31b;6aac;
64;30c;31e;7050;
5d;30b;31c;75f4;
56;30d;31a;7b98;
50;30c;31f;8140;
49;30e;320;86e4;
43;30d;321;8c88;
3c;30e;323;922c;
38;30f;324;97d4;
32;315;325;9d78;
2e;315;325;a31c;
2a;315;32a;a8c0;
25;31a;32d;ae68;
22;31a;32e;b410;
20;31d;32e;b9b0;
1c;320;331;bf54;
1b;321;333;c4fc;
1a;326;336;caa0;
19;32a;336;d044;
19;32d;339;d5e8;
19;32e;33b;db90;
1a;32e;33d;e134;
1b;330;33f;e6d8;
1d;335;341;ec7c;
1f;332;343;f224;
23;334;346;f7c8;
26;333;348;fd6c;
29;336;34a;310;
2e;335;34c;860;
32;336;34b;db0;
36;334;34d;1300;
3d;336;351;18a8;
42;335;351;1e4c;
49;336;351;23f0;
4f;330;355;2994;
55;336;352;2f3c;
5c;335;355;34e0;
63;32f;356;3a84;
6b;331;359;4028;
72;330;353;45d0;
7a;331;357;4b74;
81;32f;358;5118;
88;32e;359;56bc;
90;32a;357;5c64;
97;32a;358;6208;
9e;324;358;67ac;
a5;323;355;6d50;
