;04;31a;b1f4;
27;315;327;3580;
24;317;32c;3b24;
20;31c;330;40cc;
1d;31c;32f;4670;
1b;320;331;4c1c;
1a;321;334;51b8;
18;324;336;5760;
18;329;339;5d04;
19;32b;33b;62a8;
19;32c;33d;684c;
1b;32e;33f;6df4;
1b;332;33f;7398;
1f;332;342;793c;
21;333;345;7ee0;
24;336;346;8488;
28;335;34a;8a2c;
2d;335;34a;8fd0;
31;336;34a;9574;
36;336;34d;9b1c;
3b;336;34e;a0c0;
41;336;34f;a664;
47;334;351;ac10;
4e;335;354;b1b0;
53;334;352;b754;
5b;333;357;bcf8;
63;332;354;c29c;
6a;32d;355;c844;
71;32d;357;cde8;
78;32e;357;d38c;
80;32c;356;d930;
87;32b;358;ded8;
8d;328;358;e47c;
96;327;356;ea20;
9d;326;358;efc4;
a4;321;353;f56c;
aa;31e;353;fb10;
b2;31a;356;b4;
b7;319;353;5b0;
bd;315;354;b00;
c2;312;354;1050;
c7;310;350;15f4;
cc;30f;351;1b98;
d2;30d;34d;2140;
d5;30d;34e;26e4;
da;30b;34a;2c88;
dd;30d;34c;322c;
de;30a;348;37d4;
e0;30b;345;3d78;
e4;30b;344;431c;
e5;30c;342;48c0;
e4;308;340;4e68;
e5;30a;33e;5410;
e4;309;33c;59b0;
e4;30a;336;5f54;
e2;30a;333;64fc;
e1;308;332;6aa0;
dd;307;32f;7044;
da;30a;32f;75e8;
d7;30a;32c;7b90;
d3;307;327;8134;
cf;30a;328;86d8;
ca;308;326;8c7c;
c6;307;325;9224;
c0;30a;322;97c8;
b9;309;31f;9d6c;
b2;30a;31e;a310;
ac;309;31e;a8b8;
a5;30a;31c;ae5c;
9f;309;31b;b408;
98;30a;31e;b9a4;
90;30d;31c;bf4c;
8a;309;31c;c4f0;
82;309;31c;ca94;
7b;30a;31d;d038;
74;30c;31d;d5e0;
6c;30a;31c;db84;
65;30b;31c;e128;
5e;30a;31a;e6cc;
56;30a;31c;ec74;
50;30b;31e;f218;
4a;30c;320;f7bc;
44;30b;324;fd60;
3d;30c;321;308;
38;310;324;858;
33;30e;323;da8;
2e;30f;326;12f8;
2a;311;327;189c;
26;314;328;1e40;
23;319;32f;23e4;
20;319;32f;298c;
1e;31b;330;2f30;
1b;320;32f;34d4;
1b;323;333;3a78;
19;325;337;4020;
19;32c;339;45c4;
18;32c;33c;4b68;
1a;32c;33c;510c;
1b;32f;33d;56b4;
1d;333;345;5c58;
1e;332;345;61fc;
22;336;346;67a0;
25;333;347;6d48;
29;333;348;72ec;
2d;337;349;7890;
32;334;34d;7e34;
36;338;34b;83dc;
3c;335;34d;8980;
41;337;352;8f24;
48;332;354;94c8;
4e;336;350;9a70;
56;335;355;a018;
5c;332;356;a5b8;
62;332;353;ab5c;
6b;331;356;b104;
71;32e;356;b6a8;
79;32e;356;bc4c;
7f;32c;35a;c1f0;
87;327;356;c798;
8f;326;356;cd3c;
96;325;357;d2e0;
9e;320;355;d884;
a4;321;355;de2c;
ab;31d;357;e3d0;
b2;31d;357;e974;
b8;319;353;ef18;
bf;317;354;f4c0;
c3;313;354;fa64;
c9;312;352;10;
cd;30f;350;504;
d1;30f;34f;a54;
d6;310;34f;fa4;
d8;30d;34b;14f4;
dd;30d;348;1a98;
df;30b;347;203c;
e0;30b;348;25e4;
e3;30b;344;2b88;
e4;30a;342;312c;
e4;30a;33d;36d0;
e5;30a;33b;3c78;
e5;30b;33a;421c;
e4;309;339;47c0;
e2;30d;335;4d64;
e0;30b;332;530c;
dd;309;32e;58b0;
dc;309;32e;5e54;
d6;309;32d;63f8;
d4;30d;32c;69a0;
cf;30a;327;6f44;
c9;309;328;74e8;
c5;309;321;7a8c;
bf;309;322;8034;
b8;306;320;85d8;
b3;30a;31f;8b7c;
ac;309;320;9120;
a5;30a;320;96c8;
9e;30a;31c;9c6c;
98;309;31c;a210;
90;308;31c;a7b4;
88;30b;31a;ad5c;
81;307;31d;b300;
7a;309;31b;b8a4;
73;309;31b;be48;
6c;30a;31d;c3f0;
65;309;31d;c994;
5e;30a;31c;cf38;
56;30a;31e;d4dc;
4f;309;31a;da84;
49;30b;31d;e028;
43;30c;320;e5cc;
3e;30d;321;eb70;
37;30c;321;f118;
32;30e;324;f6bc;
2e;310;324;fc60;
29;310;329;204;
26;314;32a;754;
23;318;32c;ca4;
1f;31c;32d;11f4;
1d;31c;32e;179c;
1b;320;32f;1d40;
19;324;333;22e4;
19;326;332;2888;
19;327;338;2e30;
19;32c;33a;33d4;
19;32e;33e;3978;
1b;32f;33f;3f1c;
1d;334;342;44c4;
1f;332;343;4a68;
21;336;345;5014;
24;336;345;55b0;
29;331;34a;5b58;
2e;333;34c;60fc;
32;336;34b;66a0;
38;337;34e;6c44;
3c;335;34f;71ec;
42;336;352;7790;
48;335;352;7d34;
4f;335;352;82d8;
55;335;354;8880;
5c;335;358;8e24;
63;331;355;93c8;
6a;330;356;996c;
72;32d;355;9f14;
79;32e;359;a4b8;
80;32a;356;aa5c;
87;328;355;b008;
90;327;356;b5a8;
96;326;355;bb4c;
9d;320;356;c0f0;
a4;31e;356;c694;
ac;31d;35a;cc3c;
b3;31a;356;d1e0;
b9;31b;354;d784;
bf;314;351;dd28;
c4;316;354;e2d0;
ca;311;351;e874;
ce;30e;350;ee18;
d2;30e;34e;f3bc;
d6;30d;34f;f964;
da;30b;34b;ff08;
dd;30b;349;4ac;
df;30b;347;9fc;
e2;30c;346;f4c;
e3;30b;345;149c;
e4;306;341;1a40;
e5;30b;33e;1fe8;
e6;309;33b;258c;
e4;309;339;2b30;
e4;30a;335;30d4;
e2;307;334;367c;
e0;30a;333;3c20;
dd;309;330;41c4;
da;30a;32f;4768;
d6;306;32c;4d10;
d3;30a;32a;52b4;
cf;30c;328;5858;
c9;309;326;5dfc;
c4;30a;324;63a4;
be;30a;322;6948;
b9;308;320;6eec;
b3;30a;320;7490;
ac;309;31e;7a38;
a5;30d;31c;7fdc;
9d;309;31b;8580;
97;308;31c;8b24;
8f;30b;318;90cc;
88;30a;31b;9670;
81;309;319;9c1c;
7a;308;31b;a1b8;
72;307;31b;a760;
6b;309;31c;ad04;
63;308;31c;b2a8;
5c;309;31d;b84c;
55;308;31f;bdf4;
4f;309;31d;c398;
48;309;31d;c93c;
42;30b;323;cee0;
3c;30c;322;d488;
37;30f;322;da2c;
32;310;325;dfd0;
2d;310;327;e574;
28;314;32a;eb1c;
24;314;32b;f0c0;
22;319;32c;f664;
1f;319;331;fc10;
1b;31c;331;1b0;
1a;322;331;700;
1b;324;334;c50;
19;324;336;11a0;
18;32a;338;1744;
18;32c;33a;1ce8;
1a;330;33f;228c;
1b;32f;33f;2834;
1d;330;33f;2dd8;
1f;334;344;337c;
22;334;344;3920;
25;335;348;3ec8;
2a;335;347;446c;
2d;338;34e;4a10;
32;336;34c;4fb4;
38;335;34d;555c;
3e;335;354;5b00;
42;335;351;60a4;
48;337;353;6648;
50;335;354;6bf0;
57;334;353;7194;
5d;332;357;7738;
64;32f;355;7cdc;
6b;330;356;8284;
72;32d;356;8828;
7a;32b;355;8dcc;
82;32b;355;9370;
89;329;357;9918;
90;326;358;9ebc;
98;322;356;a460;
a0;321;353;aa04;
a6;321;356;afac;
ac;31c;355;b550;
b3;319;354;baf4;
ba;315;353;c098;
bf;313;351;c640;
c4;30f;351;cbe4;
cb;30c;352;d188;
cf;30f;352;d72c;
d4;30b;34e;dcd4;
d7;30c;34c;e278;
da;30b;34b;e820;
de;30c;349;edc0;
e1;309;345;f368;
e2;30e;341;f90c;
e4;30a;344;feb0;
e5;30d;340;454;
e5;30a;33d;9a4;
e4;30b;33c;ef4;
e4;30d;339;1444;
e2;309;337;19ec;
e2;30b;334;1f90;
e0;30b;32f;2534;
de;307;32e;2ad8;
da;309;32f;3080;
d7;30a;32c;3624;
d1;307;327;3bc8;
cd;309;328;416c;
c9;30a;327;4714;
c3;30a;322;4cb8;
bd;309;321;525c;
b7;309;320;5808;
b1;30a;31f;5da8;
aa;309;320;634c;
a4;308;31c;68f0;
9d;308;31d;6e94;
95;309;31b;743c;
8f;309;319;79e0;
87;308;319;7f84;
80;30a;31a;8528;
78;309;31d;8ad0;
70;309;31b;9074;
69;30a;31b;9618;
62;308;31b;9bbc;
5a;30a;31d;a164;
54;309;31d;a708;
4e;30a;31f;acac;
47;30e;31e;b250;
41;308;320;b7f8;
3c;30b;321;bd9c;
36;30e;323;c340;
31;30d;323;c8e4;
2c;30f;328;ce8c;
28;314;328;d430;
24;314;32c;d9d4;
22;319;32d;df78;
1e;31a;32b;e520;
1c;31e;332;eac4;
1a;321;333;f068;
19;324;335;f60c;
19;325;338;fbb4;
19;32a;33a;158;
19;32c;33d;6a8;
1a;32f;339;bf8;
1c;330;340;1148;
1c;336;33f;16ec;
1f;333;343;1c90;
22;332;344;2238;
26;336;349;27dc;
29;338;347;2d80;
2f;333;34c;3324;
33;335;34c;38cc;
38;335;350;3e70;
3d;33a;34d;441c;
44;337;350;49b8;
49;337;351;4f60;
51;336;353;5504;
57;335;355;5aa8;
5f;32f;355;604c;
66;335;354;65f4;
6d;32f;353;6b98;
75;329;357;713c;
7b;32a;356;76e0;
82;328;356;7c88;
8a;327;357;822c;
92;322;357;87d0;
99;321;354;8d74;
9f;321;357;931c;
a7;31c;355;98c0;
ae;31e;353;9e64;
b4;317;356;a410;
ba;316;354;a9b0;
c0;314;353;af54;
c6;311;351;b4f8;
cb;312;351;ba9c;
d0;310;34f;c044;
d3;30d;34f;c5e8;
d7;30f;34b;cb8c;
db;30d;349;d130;
de;30c;346;d6d8;
e1;30d;347;dc7c;
e3;30b;342;e220;
e4;30a;342;e7c4;
e5;30c;340;ed6c;
e5;30b;33c;f310;
e5;30b;33c;f8b4;
e4;30c;339;fe58;
e3;30b;335;400;
e1;30b;336;950;
e0;30a;331;ea0;
dd;30c;32d;13f0;
da;30a;32e;1994;
d5;309;32c;1f38;
d0;30a;327;24dc;
cc;307;325;2a84;
c7;30c;324;3028;
c3;309;321;35cc;
bd;30b;323;3b70;
b7;30a;320;4118;
b0;30e;31b;46bc;
a8;309;31b;4c60;
a3;309;31d;5204;
9b;30a;31d;57ac;
94;309;31a;5d50;
8d;309;31c;62f4;
86;30b;317;6898;
7f;309;319;6e40;
77;30b;31c;73e4;
70;30a;31c;7988;
69;30a;31b;7f2c;
61;309;31b;84d4;
5a;30c;31c;8a78;
53;309;31d;9020;
4d;308;31e;95c0;
46;30c;31f;9b68;
40;309;321;a10c;
3a;30b;323;a6b0;
35;30e;323;ac54;
30;30f;326;b1fc;
2b;311;328;b7a0;
28;315;329;bd44;
23;319;32b;c2e8;
21;319;32c;c890;
1d;31e;32d;ce34;
1b;31e;330;d3d8;
1a;321;334;d97c;
19;325;335;df24;
19;326;337;e4c8;
19;32a;33a;ea6c;
19;32c;33e;f018;
1a;32c;33e;f5b8;
1b;332;340;fb5c;
1e;334;341;100;
21;331;346;650;
23;335;346;ba0;
27;336;348;10f0;
2a;334;349;1694;
30;336;34b;1c3c;
35;337;34b;21e0;
39;335;34f;2784;
3f;335;351;2d28;
45;338;351;32d0;
4b;339;354;3874;
52;331;354;3e18;
58;334;352;43bc;
5f;332;355;4964;
66;331;358;4f08;
6e;32e;355;54ac;
75;32d;355;5a50;
7d;32a;356;5ff8;
83;329;353;659c;
8b;326;355;6b40;
93;324;356;70e4;
9a;325;358;768c;
a1;31f;35b;7c30;
a9;31f;358;81d4;
af;31d;357;8778;
b6;319;357;8d20;
bb;315;355;92c4;
c1;316;350;9868;
c7;313;353;9e0c;
cb;310;350;a3b4;
d0;311;350;a958;
d4;30d;34f;aefc;
d9;30d;34e;b4a0;
dc;30e;34d;ba48;
df;30c;347;bfec;
e1;30a;346;c590;
e2;30b;343;cb34;
e5;30a;342;d0dc;
e4;309;342;d680;
e4;309;33b;dc24;
e4;30b;33b;e1c8;
e3;30b;33a;e770;
e2;30b;334;ed14;
e1;30b;332;f2b8;
df;30d;330;f85c;
db;30c;330;fe04;
d8;307;32d;3a8;
d5;30b;32b;8f8;
d0;30b;329;e48;
cc;30b;328;1398;
c7;30c;324;193c;
c1;30b;320;1ee0;
bc;309;321;2488;
b6;30b;31d;2a2c;
af;309;31c;2fd0;
a9;30b;31e;3574;
a2;30a;31c;3b1c;
9b;307;31a;40c0;
94;307;31a;4664;
8b;309;31b;4c10;
84;30b;31a;51b0;
7e;309;31b;5754;
76;30a;31a;5cf8;
6e;30a;31a;629c;
68;309;31b;6844;
60;30a;31e;6de8;
58;30c;31c;738c;
51;30b;31d;7930;
4c;308;31f;7ed8;
45;30c;31f;847c;
3f;30c;321;8a20;
3a;30e;322;8fc4;
34;312;323;956c;
2f;30f;327;9b10;
2b;310;325;a0b4;
26;315;329;a658;
24;319;32a;ac00;
21;31b;32c;b1a4;
1f;320;32c;b748;
1b;320;333;bcec;
1a;325;333;c294;
18;325;335;c838;
19;327;336;cddc;
18;32b;339;d380;
19;32e;33b;d928;
1b;32d;33f;decc;
1c;331;340;e470;
1d;332;341;ea14;
22;332;344;efbc;
24;333;347;f560;
28;337;348;fb04;
2c;338;34b;a8;
30;336;34c;5a4;
35;335;34d;af4;
3a;335;34d;1044;
3f;337;350;15e8;
45;338;352;1b90;
4c;333;352;2134;
52;335;355;26d8;
5a;335;353;2c7c;
60;332;353;3224;
67;32f;355;37c8;
6f;32c;357;3d6c;
76;32e;354;4310;
7d;32d;359;48b8;
84;325;357;4e5c;
8c;327;353;5408;
93;324;354;59a4;
9b;320;358;5f4c;
a2;31f;35a;64f0;
a9;31e;355;6a94;
af;31a;357;7038;
b6;31a;355;75e0;
bc;318;351;7b84;
c2;312;356;8128;
c7;316;353;86cc;
cc;311;351;8c74;
d1;312;351;9218;
d4;30c;34e;97bc;
d8;30d;350;9d60;
dd;30d;34c;a308;
df;30c;348;a8ac;
e2;308;345;ae50;
e3;30b;348;b3f4;
e5;30c;343;b99c;
e5;30c;33d;bf40;
e6;30c;33e;c4e4;
e5;309;340;ca88;
e4;30a;339;d030;
e3;309;334;d5d4;
e0;30a;335;db78;
df;30a;332;e11c;
dc;308;32f;e6c4;
d8;30b;32d;ec68;
d4;307;329;f20c;
d0;309;329;f7b0;
cb;30a;326;fd58;
c5;30a;326;2fc;
c1;30b;322;84c;
bb;30b;321;d9c;
b5;30c;31c;12ec;
ae;30a;31f;1890;
a8;309;31c;1e34;
a1;30c;31b;23dc;
9a;30a;319;2980;
93;30a;31b;2f24;
8b;309;31b;34c8;
84;30a;319;3a70;
7d;309;31c;4018;
75;30b;31b;45b8;
6d;307;31a;4b5c;
66;309;319;5104;
5f;30a;31c;56a8;
59;307;31c;5c4c;
52;309;320;61f0;
4b;30a;31b;6798;
44;309;320;6d3c;
3f;30c;322;72e0;
39;30e;321;7884;
34;30f;322;7e2c;
2f;311;326;83d0;
2b;314;328;8974;
26;316;329;8f18;
23;31a;32c;94c0;
20;31c;32b;9a64;
1e;31d;330;a010;
1c;31e;331;a5ac;
1a;321;334;ab54;
19;324;333;b0f8;
19;329;338;b69c;
18;32e;339;bc40;
19;328;33f;c1e8;
1a;332;33d;c78c;
1c;331;33f;cd30;
1e;332;345;d2d4;
21;333;344;d87c;
25;335;345;de20;
29;334;349;e3c4;
2d;335;34b;e968;
31;336;34d;ef10;
36;337;34f;f4b4;
3c;336;350;fa58;
42;336;350;fffc;
48;336;354;5a4;
4d;336;356;af4;
54;337;353;1044;
5b;332;355;15e8;
62;332;355;1b8c;
69;330;354;2130;
70;32f;354;26d8;
78;32c;357;2c7c;
7f;32b;357;3220;
87;329;356;37c4;
8e;325;359;3d6c;
95;324;356;4310;
9c;322;355;48b4;
a3;31f;354;4e58;
aa;31d;352;5400;
b1;31c;356;59a4;
b7;31a;355;5f48;
bd;31a;355;64ec;
c3;311;352;6a94;
c8;310;355;7038;
ce;30e;34e;75dc;
d2;30e;34f;7b80;
d7;30b;34e;8128;
da;30d;34e;86cc;
dd;30a;34a;8c70;
e0;30b;349;9214;
e2;30c;346;97bc;
e3;30b;344;9d60;
e5;309;341;a304;
e6;30a;33f;a8a8;
e6;30b;33d;ae50;
e5;309;33a;b3f4;
e4;308;338;b998;
e3;30a;336;bf3c;
e0;305;331;c4e4;
de;30a;32f;ca88;
da;30b;32f;d02c;
d7;307;32e;d5d0;
d3;309;32b;db78;
ce;30a;326;e11c;
c9;30b;326;e6c0;
c5;30b;324;ec64;
bf;30b;324;f20c;
b9;30b;322;f7b0;
b2;309;320;fd54;
ac;30a;31d;2f8;
a6;309;31c;848;
9e;30c;31a;d98;
98;309;317;12e8;
91;309;31b;1890;
8a;309;31c;1e34;
82;30a;31b;23d8;
7b;305;31c;297c;
72;30a;31b;2f24;
6c;30a;31c;34c8;
65;309;31c;3a6c;
5e;30b;31a;4018;
56;30b;31d;45b8;
50;30a;31e;4b5c;
49;30c;31f;5100;
43;30c;31f;56a4;
3e;30b;320;5c4c;
39;30a;321;61f0;
33;30f;325;6794;
2e;30f;327;6d38;
2a;312;328;72e0;
25;316;329;7884;
22;319;32d;7e28;
20;31b;32d;83cc;
1d;31e;330;8974;
1b;31e;331;8f18;
19;322;334;94bc;
19;326;335;9a60;
18;328;337;a00c;
18;32b;339;a5ac;
19;32e;33d;ab50;
1a;330;33e;b0f4;
1d;332;33f;b69c;
1f;334;341;bc40;
21;334;344;c1e4;
26;335;349;c788;
28;337;349;cd30;
2e;335;34c;d2d4;
33;338;34c;d878;
38;335;34e;de1c;
3d;336;34f;e3c4;
43;337;352;e968;
48;337;351;ef0c;
4f;334;354;f4b0;
56;334;354;fa58;
5d;332;355;fffc;
64;330;357;5a0;
6b;331;355;af0;
71;32e;358;1040;
79;32c;357;15e4;
80;329;358;1b8c;
88;327;358;2130;
8f;328;357;26d4;
96;322;358;2c78;
9f;323;355;3220;
a4;31e;356;37c4;
ab;31b;358;3d68;
b1;316;354;430c;
b8;316;356;48b4;
be;318;355;4e58;
c4;314;351;53fc;
ca;311;354;59a0;
ce;310;353;5f48;
d3;30d;351;64ec;
d6;30e;34c;6a90;
da;310;34d;7034;
de;30b;347;75dc;
df;30a;347;7b80;
e2;30c;345;8124;
e3;30a;344;86c8;
e5;30c;340;8c70;
e5;30b;33e;9214;
e5;309;33d;97b8;
e4;30a;33a;9d5c;
e1;307;337;a304;
e0;307;333;a8a8;
e0;30b;332;ae4c;
dc;30a;331;b3f0;
d9;30b;330;b998;
d6;30b;32b;bf3c;
d1;309;329;c4e0;
cd;30a;328;ca84;
c8;30a;327;d02c;
c3;30b;325;d5d0;
be;309;322;db74;
b8;308;31f;e118;
b1;30b;31d;e6c0;
ab;30d;31d;ec64;
a3;30a;31d;f208;
9d;30b;31a;f7ac;
95;30b;31a;fd54;
8e;30a;31b;2f8;
87;309;31d;848;
80;30b;31b;d98;
79;309;31d;12e8;
72;307;31d;188c;
6b;309;31c;1e30;
63;30a;31e;23d8;
5d;309;31e;297c;
55;30c;31b;2f20;
4e;30a;31e;34c4;
48;307;31e;3a6c;
42;30b;31e;4014;
3d;30c;325;45b4;
37;30d;323;4b58;
32;30f;326;5100;
2c;310;327;56a4;
28;312;326;5c48;
25;314;32a;61ec;
21;31a;32c;6794;
20;318;331;6d38;
1d;31b;331;72dc;
1b;322;330;7880;
19;321;335;7e28;
19;327;335;83cc;
18;32a;337;8970;
19;32c;33a;8f14;
19;32e;33b;94bc;
1b;330;33d;9a60;
1d;32f;342;a00c;
20;333;343;a5a8;
23;334;345;ab50;
27;333;348;b0f4;
2a;335;34c;b698;
2e;336;34b;bc3c;
33;335;34d;c1e4;
39;336;352;c788;
3f;334;34f;cd2c;
44;338;350;d2d0;
4b;338;354;d878;
51;337;353;de1c;
58;334;357;e3c0;
5f;331;355;e964;
65;331;357;ef0c;
6d;32f;357;f4b0;
74;32d;357;fa54;
7c;32c;356;fff8;
83;329;357;5a0;
89;327;356;af0;
91;324;356;1040;
98;323;35a;15e4;
9f;322;356;1b88;
a6;31d;356;212c;
ad;31c;356;26d4;
b3;31a;357;2c78;
b9;318;354;321c;
be;315;353;37c0;
c5;313;353;3d68;
cb;311;352;430c;
cf;30e;34f;48b0;
d4;30e;352;4e54;
d8;30c;34a;53fc;
dc;309;348;59a0;
df;30e;347;5f44;
e1;309;348;64e8;
e3;309;344;6a90;
e4;309;342;7034;
e5;309;340;75d8;
e5;308;33b;7b7c;
e5;309;33a;8124;
e5;309;338;86c8;
e3;30d;337;8c6c;
e2;30b;338;9210;
e0;308;332;97b8;
db;30c;32d;9d5c;
d9;30b;32d;a300;
d5;309;32a;a8a4;
d0;30b;328;ae4c;
cc;30b;325;b3f0;
c8;30c;324;b994;
c3;30b;321;bf38;
bc;309;31f;c4e0;
b5;30b;31e;ca84;
b0;309;31c;d028;
a9;309;31e;d5cc;
a2;30b;31a;db74;
9b;30c;318;e118;
94;309;31c;e6bc;
8d;309;31b;ec60;
85;30d;318;f208;
7e;30b;31c;f7ac;
77;30b;31c;fd50;
6f;307;318;2f4;
68;309;31c;844;
62;308;31c;d94;
5a;307;319;12e4;
54;30a;31c;188c;
4d;30c;31d;1e30;
47;30a;31d;23d4;
40;30c;320;2978;
3c;30b;320;2f20;
35;30f;321;34c4;
30;310;326;3a68;
2b;312;323;4014;
27;313;326;45b4;
24;314;32d;4b58;
21;31b;32c;50fc;
1f;31c;32d;56a0;
1c;31c;32f;5c48;
1b;321;334;61ec;
19;323;336;6790;
19;328;33a;6d34;
19;329;33a;72dc;
19;32e;33d;7880;
1a;32d;33e;7e24;
1c;32e;33f;83c8;
1d;332;341;8970;
21;334;344;8f14;
24;335;347;94b8;
27;336;348;9a5c;
2b;335;34a;a008;
30;335;34a;a5a8;
34;335;34d;ab4c;
3a;335;34f;b0f0;
3f;333;350;b698;
45;336;351;bc3c;
4b;336;355;c1e0;
52;336;358;c784;
58;334;356;cd2c;
60;331;355;d2d0;
67;331;355;d874;
6f;32f;356;de18;
76;32e;355;e3c0;
7d;32d;358;e964;
85;32a;35a;ef08;
8c;328;356;f4ac;
94;323;355;fa54;
9b;322;355;fff8;
a2;31f;356;59c;
a8;31d;355;aec;
af;31b;356;103c;
b5;31a;355;15e0;
bb;316;354;1b88;
c0;316;351;212c;
c7;312;34d;26d0;
cb;30f;350;2c74;
d0;30d;34f;321c;
d5;30c;34d;37c0;
d9;30d;34c;3d64;
db;309;34a;4308;
de;30a;346;48b0;
e0;30b;345;4e54;
e2;307;344;53f8;
e3;309;340;599c;
e4;309;340;5f44;
e6;307;33e;64e8;
e4;30a;339;6a8c;
e4;30a;336;7030;
e3;30a;336;75d8;
e1;30a;332;7b7c;
df;30a;333;8120;
dc;30c;32e;86c4;
d8;309;32a;8c6c;
d4;309;329;9210;
d1;30b;328;97b4;
cb;30b;326;9d58;
c6;309;322;a300;
c1;308;320;a8a4;
ba;309;31e;ae48;
b5;309;322;b3ec;
ae;309;31e;b994;
a8;30a;31a;bf38;
a1;305;31b;c4dc;
9a;308;31b;ca80;
92;306;318;d028;
8b;309;317;d5cc;
83;307;31a;db70;
7c;309;31a;e114;
75;305;319;e6bc;
6d;309;31e;ec60;
66;307;31a;f204;
5f;30a;31c;f7a8;
58;309;320;fd50;
50;30a;31d;2f4;
4c;307;31d;844;
45;309;31e;d94;
40;30b;320;12e4;
3a;30c;321;1888;
34;30e;323;1e2c;
30;310;326;23d4;
2b;30e;327;2978;
28;313;327;2f1c;
23;317;32c;34c0;
20;319;32b;3a68;
1e;31b;32f;4010;
1c;31f;330;45b0;
1b;321;333;4b54;
19;323;337;50fc;
19;328;338;56a0;
19;328;337;5c44;
1a;32d;33d;61e8;
1a;333;33b;6790;
1c;32f;341;6d34;
1e;333;343;72d8;
21;332;345;787c;
24;331;346;7e24;
27;333;347;83c8;
2c;335;349;896c;
30;335;347;8f10;
36;335;34d;94b8;
3b;334;34e;9a5c;
41;336;354;a008;
47;334;352;a5a4;
4c;336;353;ab4c;
53;334;352;b0f0;
5a;332;354;b694;
61;332;355;bc38;
69;32f;357;c1e0;
71;332;356;c784;
78;32e;358;cd28;
7f;32c;359;d2cc;
86;32a;355;d874;
8d;327;35a;de18;
95;328;359;e3bc;
9c;321;357;e960;
a3;31e;356;ef08;
aa;320;358;f4ac;
b0;31a;355;fa50;
b6;318;353;fff4;
bd;311;353;59c;
c3;314;353;aec;
c8;310;352;103c;
cc;30e;34f;15e0;
d1;30d;34f;1b84;
d5;30c;34c;2128;
d8;30c;349;26d0;
dd;309;349;2c74;
df;309;346;3218;
e1;30d;345;37bc;
e2;30a;341;3d64;
e4;309;341;4308;
e5;309;33f;48ac;
e5;30a;33c;4e50;
e4;308;33a;53f8;
e3;308;336;599c;
e3;30a;335;5f40;
e1;30e;336;64e4;
dd;309;332;6a8c;
dc;309;32e;7030;
d8;30a;32b;75d4;
d3;30a;32d;7b78;
cf;308;327;8120;
cb;30a;323;86c4;
c5;308;323;8c68;
c0;309;321;920c;
ba;30a;31e;97b4;
b3;309;31e;9d58;
ad;306;320;a2fc;
a6;307;31d;a8a0;
9e;308;31d;ae48;
98;305;31a;b3ec;
90;305;319;b990;
89;308;317;bf34;
82;30a;31b;c4dc;
7b;308;31c;ca80;
73;307;319;d024;
6c;308;31b;d5c8;
65;308;31b;db70;
5c;307;317;e114;
57;308;31e;e6b8;
4f;306;31c;ec5c;
49;30a;31d;f204;
43;30a;322;f7a8;
3e;30d;321;fd4c;
37;30c;322;2f0;
33;311;323;840;
2e;30f;325;d90;
2b;312;329;12e0;
27;312;32b;1888;
23;317;32a;1e2c;
1f;31c;32d;23d0;
1d;31f;32f;2974;
1c;322;332;2f1c;
19;324;335;34c0;
19;325;336;3a64;
18;32a;338;4010;
19;32b;33b;45b0;
1a;32b;33c;4b54;
1c;32e;340;50f8;
1c;32f;33f;569c;
1f;331;343;5c44;
22;332;346;61e8;
24;334;34a;678c;
28;334;34a;6d30;
2c;333;34a;72d8;
31;336;34c;787c;
37;337;34f;7e20;
3c;336;34f;83c4;
42;335;351;896c;
48;335;352;8f10;
4f;333;353;94b4;
55;334;352;9a58;
5c;331;354;a000;
64;333;355;a5a4;
6a;330;355;ab48;
72;32f;356;b0ec;
79;32c;355;b694;
80;329;359;bc38;
88;329;357;c1dc;
8e;323;356;c780;
96;323;353;cd28;
9d;31b;356;d2cc;
a5;31d;355;d870;
ac;31d;355;de14;
b2;318;355;e3bc;
b8;316;354;e960;
be;316;353;ef04;
c4;311;352;f4a8;
ca;311;350;fa50;
ce;310;34e;fff4;
d2;30e;34e;598;
d6;30d;34c;ae8;
da;30b;34c;1038;
dd;30c;348;15dc;
df;30c;346;1b84;
e3;308;346;2128;
e4;308;342;26cc;
e5;30a;341;2c70;
e6;307;33e;3218;
e5;309;33b;37bc;
e4;309;33b;3d60;
e3;307;336;4304;
e1;306;334;48ac;
e0;30a;332;4e50;
dd;30a;32f;53f4;
d9;307;331;5998;
d7;309;32b;5f40;
d3;309;328;64e4;
ce;307;324;6a88;
ca;309;325;702c;
c4;308;321;75d4;
be;307;31e;7b78;
b8;308;320;811c;
b1;308;31e;86c0;
ab;308;31b;8c68;
a5;305;31c;920c;
9e;308;31d;97b0;
97;306;31a;9d54;
8f;308;31b;a2fc;
88;308;31a;a8a0;
80;308;31a;ae44;
79;308;31e;b3e8;
72;309;31a;b990;
6a;306;31d;bf34;
63;306;31d;c4d8;
5d;308;31d;ca7c;
55;306;320;d024;
4e;308;31b;d5c8;
48;309;31f;db6c;
41;308;31f;e110;
3b;30c;320;e6b8;
36;30c;322;ec5c;
32;310;327;f200;
2c;30f;325;f7a4;
28;312;326;fd4c;
25;316;329;2f0;
22;318;32c;840;
1f;319;331;d90;
1d;31f;32e;12e0;
1a;320;332;1884;
1a;323;332;1e28;
19;327;335;23d0;
18;329;336;2974;
18;32b;33c;2f18;
1a;32f;33d;34bc;
