d2f4;315;e700;
2b;31f;34c;ae34;
2a;320;34e;b3d8;
28;322;34d;b97c;
27;321;34e;bf20;
27;321;34f;c4c8;
25;320;34e;ca6c;
26;323;34e;d018;
25;321;34e;d5b4;
25;321;34f;db5c;
23;322;350;e100;
23;321;351;e6a4;
23;323;34e;ec48;
22;323;350;f1f0;
21;322;350;f794;
21;323;353;fd38;
20;324;353;2e0;
1f;323;355;82c;
1e;323;354;d80;
1e;323;356;12d0;
1f;323;352;1874;
1d;326;355;1e18;
1d;325;355;23bc;
1c;325;356;2960;
1c;326;355;2f08;
1c;326;356;34ac;
1c;328;355;3a50;
1b;328;355;3ff4;
1b;328;35b;459c;
1a;328;356;4b40;
1b;328;353;50e4;
1a;328;357;5688;
1a;328;357;5c30;
19;329;358;61d4;
19;328;35b;6778;
19;329;358;6d1c;
19;329;359;72c4;
19;32a;359;7868;
19;329;359;7e0c;
18;329;358;83b0;
19;32a;35b;8958;
19;329;358;8efc;
18;32a;358;94a0;
18;32a;35f;9a44;
19;329;359;9fec;
19;329;359;a590;
19;325;357;ab34;
19;329;357;b0dc;
19;32a;359;b680;
1a;329;35c;bc24;
1a;32c;35a;c1c8;
19;32a;35d;c76c;
1a;32a;35a;cd14;
1a;329;35c;d2b8;
1b;329;359;d85c;
1a;329;359;de00;
1a;329;35a;e3a8;
1b;32e;359;e94c;
1b;32a;357;eef0;
1c;32a;35c;f494;
1c;32a;357;fa3c;
1c;329;359;ffe0;
1d;32b;357;584;
1d;327;35a;ad4;
1d;32a;355;1024;
1d;32c;35b;15c8;
1f;328;35a;1b70;
1f;327;357;2114;
20;329;359;26b8;
20;327;35d;2c60;
21;327;359;3204;
21;32a;359;37a8;
22;328;35a;3d4c;
22;327;35a;42f0;
23;329;35b;4898;
24;32a;359;4e3c;
25;32b;359;53e0;
25;329;35a;5984;
26;327;35d;5f2c;
26;327;359;64d0;
28;326;357;6a74;
28;329;35a;7020;
28;32b;35b;75c0;
2a;329;357;7b64;
2b;328;35c;8108;
2b;32a;359;86ac;
2d;329;35a;8c54;
2d;32a;35b;91f8;
2e;329;359;979c;
2e;328;35b;9d40;
30;327;35e;a2e8;
30;32a;35b;a88c;
33;32a;35b;ae30;
33;327;35d;b3d4;
34;329;35b;b97c;
35;329;358;bf20;
35;32b;35a;c4c4;
38;32b;356;ca68;
38;329;359;d014;
39;327;357;d5b4;
3a;32a;35c;db58;
3b;329;35b;e100;
3c;327;357;e6a4;
3e;329;359;ec48;
3f;329;359;f1ec;
3f;327;35a;f794;
41;329;359;fd38;
42;326;35c;2dc;
43;329;35c;82c;
45;32a;35b;d7c;
46;328;35c;12cc;
48;329;35c;1870;
48;32b;359;1e14;
4a;329;35c;23bc;
4b;327;35a;2960;
4c;329;35e;2f04;
4e;328;359;34ac;
4f;329;35a;3a50;
50;328;357;3ff4;
51;328;359;4598;
53;327;35c;4b3c;
54;329;35a;50e4;
55;328;359;5688;
58;328;35c;5c2c;
58;329;35c;61d4;
5a;328;35c;6778;
5b;327;35b;6d1c;
5c;328;359;72c0;
5d;328;35c;7868;
5f;327;35c;7e0c;
61;327;35d;83b0;
63;325;35b;8954;
64;329;359;8ef8;
65;325;35a;94a0;
66;327;35c;9a44;
68;325;35e;9fe8;
6a;325;359;a58c;
6b;323;35a;ab34;
6c;324;359;b0d8;
6e;324;358;b67c;
70;322;35e;bc24;
71;321;35c;c1c8;
72;322;35a;c76c;
74;322;357;cd10;
76;320;357;d2b4;
76;322;359;d85c;
78;31e;359;de00;
7a;31d;357;e3a4;
7c;31c;355;e948;
7d;31d;353;eef0;
7f;319;358;f494;
7f;31b;355;fa38;
81;31a;352;ffe0;
82;31c;351;584;
84;315;353;ad4;
85;31a;34f;1024;
86;319;34f;15c8;
88;318;34d;1b6c;
89;317;34c;2110;
8b;318;34c;26b8;
8d;318;34c;2c5c;
8e;317;34b;3200;
8f;319;34b;37a8;
91;31b;349;3d4c;
92;319;345;42f0;
93;319;349;4894;
95;318;347;4e38;
97;31a;345;53e0;
98;319;346;5984;
9a;318;344;5f28;
9a;315;343;64d0;
9d;315;342;6a74;
9f;316;341;7020;
9e;316;33f;75bc;
a1;314;33e;7b64;
a2;313;340;8108;
a2;313;33c;86ac;
a5;314;33f;8c50;
a7;311;33e;91f8;
a7;30e;33a;979c;
a9;310;33a;9d40;
ab;30f;339;a2e4;
ac;30e;339;a888;
ad;30f;33a;ae30;
af;30e;338;b3d4;
b0;309;33a;b978;
b2;30c;336;bf1c;
b2;30c;336;c4c4;
b4;30c;335;ca68;
b6;30b;338;d014;
b6;30a;335;d5b0;
b8;30b;331;db58;
b8;30a;336;e0fc;
ba;30a;334;e6a0;
bc;30a;331;ec44;
bd;30b;336;f1ec;
bc;30a;332;f790;
bf;30a;330;fd34;
bf;30e;333;2d8;
c1;30c;331;828;
c2;30e;32d;d78;
c2;30b;332;12c8;
c4;30a;330;1870;
c5;30c;32c;1e14;
c6;30c;32d;23b8;
c8;30a;32c;2960;
c7;30d;32b;2f04;
c8;30a;328;34a8;
cb;309;328;3a4c;
cb;30b;325;3ff0;
cd;30a;325;4598;
ce;30a;324;4b3c;
cd;308;324;50e0;
d0;309;326;5684;
cf;30b;323;5c2c;
d1;309;320;61d0;
d1;30a;320;6774;
d3;309;320;6d1c;
d4;30b;31c;72c0;
d5;309;31f;7864;
d5;308;31d;7e08;
d7;30a;319;83b0;
d7;309;31c;8954;
d7;308;31b;8ef8;
d7;307;31a;949c;
d8;309;31c;9a40;
da;307;31a;9fe8;
db;308;318;a58c;
db;308;319;ab30;
db;307;318;b0d8;
db;308;316;b67c;
dc;308;317;bc20;
de;308;317;c1c4;
de;308;317;c76c;
df;309;313;cd10;
de;306;316;d2b4;
e0;30a;315;d858;
df;308;317;ddfc;
e1;309;317;e3a4;
e1;307;312;e948;
e1;308;315;eeec;
e1;305;313;f490;
e2;307;314;fa38;
e3;308;317;ffdc;
e3;306;316;580;
e3;307;318;ad0;
e3;309;316;1020;
e4;306;316;15c4;
e4;30b;316;1b6c;
e4;309;314;2110;
e5;307;316;26b4;
e5;308;313;2c5c;
e4;309;313;3200;
e4;308;316;37a4;
e4;307;316;3d48;
e5;307;315;42ec;
e5;30a;316;4894;
e5;307;315;4e38;
e4;306;314;53dc;
e5;305;313;5980;
e6;307;315;5f28;
e6;308;315;64cc;
e4;307;319;6a70;
e4;307;314;701c;
e4;308;315;75bc;
e5;308;317;7b60;
e5;30b;313;8104;
e5;308;316;86a8;
e5;307;316;8c50;
e4;305;316;91f4;
e4;30a;318;9798;
e5;308;316;9d3c;
e3;309;313;a2e4;
e4;307;317;a888;
e4;307;319;ae2c;
e2;307;316;b3d0;
e2;307;314;b978;
e2;308;316;bf1c;
e1;306;315;c4c0;
e1;307;313;ca64;
e0;308;315;d010;
df;306;316;d5b0;
df;307;313;db54;
df;308;316;e0f8;
df;307;318;e6a0;
dd;306;313;ec44;
dd;307;316;f1e8;
dc;30a;315;f78c;
dc;305;315;fd34;
da;30a;316;2d8;
da;309;315;828;
da;308;315;d78;
d9;308;315;12c8;
da;307;315;186c;
d8;309;315;1e14;
d8;308;316;23b8;
d8;306;316;295c;
d7;308;317;2f00;
d6;308;316;34a4;
d5;309;314;3a4c;
d4;308;315;3ff0;
d3;309;318;4594;
d2;306;314;4b38;
d1;307;314;50e0;
d0;30b;319;5684;
cf;306;315;5c28;
cf;308;314;61d0;
ce;308;314;6774;
cd;306;315;6d18;
cc;308;313;72bc;
cb;308;316;7860;
c9;305;316;7e08;
c8;307;315;83ac;
c8;308;316;8950;
c6;307;315;8ef4;
c5;308;315;949c;
c5;305;315;9a40;
c4;307;316;9fe4;
c1;306;317;a588;
c2;307;317;ab30;
c1;308;315;b0d4;
bf;307;315;b678;
bd;307;316;bc20;
bc;306;313;c1c4;
bb;307;316;c768;
ba;308;315;cd0c;
b9;308;316;d2b0;
b7;309;315;d858;
b6;307;316;ddfc;
b6;306;314;e3a0;
b5;307;315;e944;
b3;305;316;eeec;
b1;306;315;f490;
b0;308;315;fa34;
ae;308;316;ffd8;
ad;305;316;580;
ac;305;317;ad0;
ab;308;315;1020;
a9;306;316;15c4;
a9;307;316;1b68;
a7;307;315;210c;
a6;307;317;26b4;
a5;307;316;2c58;
a3;305;313;31fc;
a1;308;316;37a0;
a0;309;315;3d48;
9f;307;314;42ec;
9d;308;31a;4890;
9c;303;316;4e34;
9a;30a;313;53dc;
99;307;319;5980;
98;305;317;5f24;
95;30a;318;64cc;
95;308;317;6a70;
93;307;315;701c;
91;309;317;75b8;
8f;308;319;7b5c;
8f;308;315;8104;
8d;307;314;86a8;
8b;307;319;8c4c;
8a;307;315;91f0;
88;307;316;9798;
87;303;316;9d3c;
86;306;318;a2e0;
85;306;31a;a884;
83;305;319;ae2c;
82;306;319;b3d0;
80;307;319;b974;
7e;308;319;bf18;
7d;306;31a;c4c0;
7b;306;319;ca64;
7a;305;31c;d010;
79;309;31f;d5ac;
76;304;31a;db54;
75;304;31f;e0f8;
74;307;320;e69c;
73;306;31f;ec40;
71;306;322;f1e8;
70;30a;320;f78c;
6e;308;321;fd30;
6c;305;323;2d4;
6c;308;322;824;
6b;309;324;d74;
69;306;323;12c4;
68;306;325;186c;
66;308;325;1e10;
63;304;325;23b4;
63;304;328;2958;
62;308;328;2f00;
60;308;32b;34a4;
5f;306;32a;3a48;
5d;30a;329;3fec;
5b;309;32d;4594;
5a;306;32e;4b38;
59;307;32d;50dc;
58;308;32e;5680;
56;306;330;5c28;
54;307;32f;61cc;
53;307;32f;6770;
53;308;333;6d14;
51;308;331;72bc;
4f;308;333;7860;
4e;307;336;7e04;
4d;308;335;83a8;
4b;309;337;8950;
4b;30b;337;8ef4;
49;30a;339;9498;
48;30c;339;9a3c;
46;30c;339;9fe4;
45;30e;339;a588;
43;30c;33b;ab2c;
43;310;33a;b0d4;
41;310;33c;b678;
41;312;33e;bc20;
3f;311;33d;c1c0;
3e;316;33d;c764;
3d;318;342;cd0c;
3c;318;342;d2b0;
3b;31a;33f;d854;
3a;319;341;ddf8;
39;31b;342;e3a0;
38;31a;343;e944;
36;31f;343;eee8;
36;31f;346;f48c;
34;31e;345;fa34;
33;31d;346;ffd8;
33;320;348;57c;
32;31c;347;acc;
31;320;348;1020;
2f;320;347;15c0;
2f;320;34a;1b68;
2d;320;34b;210c;
2d;321;349;26b0;
2d;321;34b;2c54;
2b;320;34f;31fc;
2a;320;34d;37a0;
2a;320;34d;3d44;
29;321;34c;42e8;
27;321;34e;4890;
27;320;34d;4e34;
26;323;34b;53d8;
26;321;351;597c;
24;31e;350;5f24;
24;320;34f;64c8;
24;31c;34e;6a6c;
23;31f;350;7018;
22;322;350;75b8;
22;323;352;7b5c;
21;321;352;8100;
20;324;351;86a4;
20;325;353;8c4c;
1f;324;353;91f0;
1f;325;353;9794;
1f;325;353;9d38;
1e;325;355;a2e0;
1e;327;351;a884;
1d;325;356;ae28;
1d;327;354;b3cc;
1c;327;359;b974;
1b;328;356;bf18;
1c;327;356;c4bc;
1c;329;355;ca60;
1b;328;355;d00c;
1a;327;355;d5ac;
1a;328;356;db50;
1a;329;359;e0f8;
1a;32a;355;e69c;
19;327;357;ec40;
19;32b;359;f1e4;
19;32a;357;f788;
19;32a;358;fd30;
19;329;35a;2d4;
18;32a;359;824;
19;32a;359;d74;
19;329;35a;12c4;
18;329;35c;1868;
18;32c;358;1e0c;
19;329;35a;23b4;
19;32a;35e;2958;
19;32b;358;2efc;
19;329;35a;34a4;
19;329;35a;3a48;
19;32c;359;3fec;
1a;32d;358;4590;
19;327;35b;4b34;
19;32a;359;50dc;
1a;329;35b;5680;
1a;32b;35a;5c24;
1a;32a;357;61cc;
1a;32a;35b;6770;
1b;327;35a;6d14;
1c;32c;358;72b8;
1c;32c;35a;785c;
1c;327;35b;7e04;
1c;32a;359;83a8;
1d;328;359;894c;
1d;329;359;8ef0;
1c;32e;359;9498;
1e;329;359;9a3c;
1e;329;359;9fe0;
1f;32a;359;a584;
20;329;358;ab2c;
20;329;35a;b0d0;
20;32b;358;b674;
21;329;359;bc20;
22;32a;35a;c1c0;
22;32a;35b;c764;
22;32a;359;cd08;
24;329;35c;d2ac;
23;32a;35b;d854;
24;32d;35b;ddf8;
25;32b;35a;e39c;
26;32b;35b;e940;
27;32d;359;eee8;
27;328;35a;f48c;
29;32b;35b;fa30;
2a;32a;35b;ffd8;
2a;327;359;57c;
2b;329;35b;acc;
2b;32b;35b;1020;
2c;329;35b;15c0;
2d;329;359;1b64;
2e;327;357;2108;
2f;329;359;26b0;
30;32a;35c;2c54;
31;32b;35b;31f8;
33;32c;35c;379c;
34;32a;35d;3d44;
35;32b;35b;42e8;
35;32b;35b;488c;
36;329;35b;4e30;
37;329;359;53d8;
39;328;35b;597c;
3a;329;35a;5f20;
3a;32a;35a;64c4;
3c;328;35a;6a6c;
3d;329;35b;7014;
3d;329;35b;75b4;
3f;329;35b;7b58;
41;329;35b;8100;
41;32a;359;86a4;
43;32b;35b;8c48;
44;327;35a;91f0;
45;327;35b;9794;
46;329;35b;9d38;
48;327;35b;a2dc;
48;329;35c;a880;
4a;327;35d;ae28;
4c;328;35a;b3cc;
4d;32d;35c;b970;
4e;328;35b;bf18;
4f;328;35c;c4bc;
51;32b;35b;ca60;
52;329;35a;d00c;
53;328;35a;d5a8;
55;329;359;db50;
56;325;35c;e0f4;
58;328;35b;e698;
58;328;359;ec40;
5a;324;35c;f1e4;
5b;326;35b;f788;
5d;327;357;fd2c;
5e;328;35a;2d0;
5f;328;35b;820;
61;329;35a;d74;
62;326;357;12c0;
64;327;35c;1868;
65;326;359;1e0c;
66;325;35b;23b0;
69;325;35c;2954;
69;324;359;2efc;
6a;324;35c;34a0;
6d;322;35c;3a44;
6e;322;35a;3fec;
6f;322;359;4590;
71;320;35a;4b34;
73;323;355;50d8;
74;31f;35a;567c;
75;31f;359;5c24;
77;31f;35a;61c8;
79;31f;358;676c;
7a;31d;354;6d10;
7b;31e;355;72b8;
7d;31d;356;785c;
7e;31c;353;7e00;
80;319;351;83a4;
81;317;351;894c;
81;31b;350;8ef0;
84;319;34f;9494;
85;31a;34f;9a38;
87;318;34e;9fe0;
88;317;34b;a584;
89;318;34c;ab28;
8c;318;34b;b0cc;
8c;318;349;b674;
8e;318;34b;bc1c;
90;317;34a;c1bc;
91;319;34a;c760;
92;319;34b;cd08;
95;318;346;d2ac;
96;31a;347;d850;
97;318;345;ddf4;
98;31a;344;e39c;
9a;318;343;e940;
9b;318;344;eee4;
9c;314;340;f488;
9f;315;340;fa30;
a0;315;341;ffd4;
a2;313;33e;578;
a2;314;33e;ac8;
a4;312;340;1020;
a6;312;33e;15bc;
a7;312;33d;1b64;
a8;313;338;2108;
aa;30d;33a;26ac;
ab;30c;33a;2c50;
ab;30c;338;31f8;
ad;30b;33c;379c;
ae;309;338;3d40;
b0;30a;338;42e8;
b1;30b;336;488c;
b2;308;336;4e30;
b3;308;335;53d4;
b5;30a;333;5978;
b6;309;333;5f20;
b7;309;334;64c4;
b9;30b;337;6a68;
b9;30a;332;7014;
ba;30a;332;75b4;
bc;309;333;7b58;
be;30a;332;80fc;
be;309;332;86a0;
c0;30a;330;8c48;
c1;308;32e;91ec;
c1;309;32f;9790;
c3;30b;32d;9d34;
c3;30b;32c;a2dc;
c5;30b;32c;a880;
c6;30a;32a;ae24;
c7;30b;328;b3c8;
c8;30b;328;b970;
c9;308;327;bf14;
ca;309;324;c4b8;
cc;309;326;ca5c;
cd;307;324;d008;
ce;309;324;d5a8;
cf;30b;323;db4c;
d0;309;323;e0f0;
d0;309;323;e698;
d0;309;31f;ec3c;
d1;30a;322;f1e0;
d3;309;31f;f784;
d2;307;31b;fd2c;
d5;308;31f;2d0;
d6;30a;31c;820;
d6;307;31c;d70;
d6;308;31b;12c0;
d8;308;31c;1864;
d7;308;31b;1e0c;
d8;308;319;23b0;
da;307;31c;2954;
da;309;319;2ef8;
d9;305;319;349c;
dc;30a;318;3a44;
dc;308;315;3fe8;
dd;309;318;458c;
de;308;317;4b34;
de;307;315;50d8;
de;30b;317;567c;
df;307;315;5c20;
df;307;314;61c4;
df;306;316;676c;
e0;306;316;6d10;
e0;309;315;72b4;
e2;307;315;7858;
e2;30a;318;7e00;
e3;308;315;83a4;
e1;309;317;8948;
e4;308;315;8eec;
e3;306;317;9494;
e4;308;314;9a38;
e3;308;315;9fdc;
e3;308;314;a580;
e5;308;314;ab28;
e5;307;314;b0cc;
e4;308;315;b670;
e4;307;314;bc1c;
e4;308;314;c1bc;
e5;307;312;c760;
e5;306;316;cd04;
e5;305;314;d2a8;
e5;309;316;d850;
e5;308;315;ddf4;
e4;308;313;e398;
e6;304;313;e93c;
e5;308;314;eee4;
e5;306;314;f488;
e5;307;313;fa2c;
e4;306;312;ffd0;
e5;308;313;578;
e4;30b;313;ac8;
e4;308;313;101c;
e4;308;314;15bc;
e3;307;313;1b60;
e4;308;311;2108;
e3;309;313;26ac;
e3;307;314;2c50;
e3;307;313;31f4;
e3;307;312;3798;
e3;305;312;3d40;
e2;308;313;42e4;
e2;308;315;4888;
e2;308;316;4e2c;
e0;306;311;53d4;
e1;308;311;5978;
e1;307;313;5f1c;
df;308;313;64c0;
df;305;315;6a68;
de;307;30f;7010;
de;307;314;75b0;
dd;306;313;7b54;
dd;306;314;80fc;
dc;308;313;86a0;
dc;306;313;8c44;
da;307;311;91e8;
da;308;314;9790;
d9;307;312;9d34;
d9;306;312;a2d8;
d9;306;313;a87c;
d7;307;312;ae24;
d6;306;311;b3c8;
d6;307;311;b96c;
d5;309;312;bf10;
d4;307;316;c4b8;
d4;308;311;ca5c;
d3;305;313;d008;
d2;30a;313;d5a4;
d0;306;312;db4c;
d0;30a;315;e0f0;
cf;307;313;e694;
ce;308;313;ec3c;
ce;30a;314;f1e0;
cc;305;313;f784;
cb;309;312;fd28;
cb;306;314;2d0;
ca;308;311;820;
c9;303;313;d70;
c8;30a;313;12bc;
c7;309;314;1864;
c6;308;315;1e08;
c4;308;314;23ac;
c4;308;313;2950;
c2;307;312;2ef8;
c1;307;313;349c;
c0;305;312;3a40;
be;307;311;3fe4;
bd;305;313;458c;
bd;305;314;4b30;
bc;308;312;50d4;
ba;304;312;5678;
b9;306;314;5c20;
b7;307;311;61c4;
b6;308;317;6768;
b5;305;313;6d0c;
b3;306;312;72b4;
b3;308;316;7858;
b1;307;313;7dfc;
af;308;312;83a4;
af;308;314;8948;
ae;307;313;8eec;
ac;307;311;9490;
ab;306;313;9a38;
a9;305;314;9fdc;
a8;30a;313;a580;
a7;305;314;ab24;
a6;306;312;b0c8;
a4;307;313;b670;
a3;306;311;bc1c;
a1;309;312;c1b8;
a0;308;313;c760;
9e;308;312;cd04;
9d;307;314;d2a8;
9c;307;312;d84c;
9a;30a;315;ddf0;
99;307;314;e398;
97;308;313;e93c;
95;306;313;eee0;
94;305;314;f488;
93;305;312;fa2c;
91;308;314;ffd0;
90;305;314;574;
8e;307;313;ac4;
8d;308;313;101c;
8b;306;314;15b8;
8a;306;315;1b60;
88;307;313;2104;
87;306;315;26a8;
86;306;316;2c4c;
84;306;316;31f4;
82;307;317;3798;
81;307;318;3d3c;
7f;306;319;42e4;
7e;306;31b;4888;
7d;306;31a;4e2c;
7c;30b;319;53d0;
7a;305;319;5974;
79;307;31b;5f1c;
76;308;31b;64c0;
76;305;31e;6a64;
74;303;31b;7010;
72;307;31d;75b0;
71;307;31f;7b54;
6f;303;320;80f8;
6e;305;31f;869c;
6d;307;322;8c44;
6c;307;323;91e8;
69;306;327;978c;
68;308;325;9d30;
67;305;327;a2d8;
65;307;327;a87c;
63;306;327;ae20;
63;307;328;b3c4;
61;306;327;b96c;
5e;306;327;bf10;
5f;307;32b;c4b4;
5d;309;329;ca58;
5c;306;32d;d004;
5a;305;32c;d5a4;
58;307;32f;db48;
57;308;330;e0ec;
56;307;32f;e694;
54;309;331;ec38;
53;305;333;f1dc;
51;30b;333;f780;
50;30a;333;fd28;
4f;308;335;2cc;
4d;307;335;820;
4d;307;338;d6c;
4c;30b;339;12bc;
4a;30b;33a;1860;
49;30c;339;1e04;
48;30d;33b;23ac;
47;30c;33a;2950;
45;30e;33b;2ef4;
44;30d;33a;349c;
44;30f;33c;3a40;
41;30f;33c;3fe4;
41;311;33e;4588;
40;313;33f;4b30;
3e;314;33f;50d4;
3d;315;341;5678;
3c;317;340;5c20;
3a;317;341;61c0;
39;31a;343;6768;
39;31a;344;6d0c;
37;31a;341;72b0;
37;31e;345;7854;
35;31b;345;7dfc;
34;31e;345;83a0;
33;31c;346;8944;
32;31c;346;8ee8;
30;321;348;9490;
30;320;34b;9a34;
2f;320;34a;9fd8;
2e;321;349;a57c;
2e;320;34a;ab24;
2d;323;34e;b0c8;
2c;321;349;b66c;
2b;320;34c;bc18;
2a;323;34e;c1b8;
29;324;34c;c75c;
29;324;34a;cd00;
28;321;34e;d2a4;
27;321;34e;d84c;
26;321;34e;ddf0;
26;322;34e;e394;
25;322;34e;e938;
23;31e;34e;eee0;
24;31f;34f;f484;
23;322;350;fa28;
22;324;353;ffcc;
21;322;351;574;
20;323;355;ac4;
20;322;351;1018;
20;322;352;15b8;
20;327;355;1b5c;
1f;324;352;2104;
1e;326;353;26a8;
1e;323;352;2c4c;
1e;327;355;31f0;
1d;327;35a;3794;
1c;326;356;3d3c;
1b;327;355;42e0;
1b;326;355;4884;
1c;329;352;4e28;
1b;329;357;53d0;
1b;32a;356;5974;
1a;329;355;5f18;
1a;32c;353;64bc;
1a;328;356;6a64;
19;32a;355;7010;
19;32c;357;75ac;
19;32a;356;7b50;
1a;32a;359;80f8;
19;32a;357;869c;
18;32a;357;8c40;
19;32a;35b;91e4;
19;32c;35b;978c;
18;32c;358;9d30;
18;329;359;a2d4;
18;32b;35a;a878;
19;328;356;ae20;
19;32a;358;b3c4;
19;32a;359;b968;
19;32c;35d;bf0c;
19;329;359;c4b4;
19;32e;35a;ca58;
1a;329;359;cffc;
19;32b;35d;d5a4;
1a;32c;359;db48;
1a;32c;35c;e0ec;
1a;329;358;e690;
19;32a;358;ec34;
1b;327;35c;f1dc;
1a;32c;35a;f780;
1b;32c;358;fd24;
1c;32a;35c;2c8;
1c;32c;357;820;
1c;32b;357;d68;
1c;32a;35d;12b8;
1d;32a;358;1860;
1d;32e;35c;1e04;
1e;32a;35c;23a8;
1f;32c;35b;2950;
1f;32c;35a;2ef4;
1f;32c;359;3498;
20;329;35c;3a3c;
20;32c;35a;3fe0;
21;32c;35a;4588;
22;327;359;4b2c;
22;329;359;50d0;
23;32c;35d;5674;
24;32a;35a;5c20;
23;32a;35a;61c0;
25;326;35c;6764;
25;32a;359;6d0c;
26;32c;359;72b0;
26;32a;35b;7854;
28;329;35b;7df8;
28;32e;359;839c;
2a;32c;35a;8944;
2a;32b;35a;8ee8;
2b;32e;35b;948c;
2b;32e;35b;9a30;
2d;329;359;9fd8;
2d;32a;35b;a57c;
2e;32b;35c;ab20;
30;329;35c;b0c4;
2f;32b;35a;b66c;
31;329;35c;bc14;
32;32a;35c;c1b4;
34;32b;359;c758;
33;32c;35d;cd00;
36;32b;35b;d2a4;
37;32b;35d;d848;
38;328;358;ddec;
39;329;35c;e394;
3a;329;359;e938;
3a;32c;35c;eedc;
3c;328;35e;f480;
3d;327;359;fa28;
3f;328;35b;ffcc;
3f;329;35d;570;
40;32a;35b;ac0;
41;32b;35c;1018;
43;329;35d;15b4;
43;32a;35b;1b5c;
45;32a;359;2100;
47;329;359;26a4;
48;328;35a;2c48;
48;32a;35b;31f0;
4b;329;35c;3794;
4c;328;35a;3d38;
4d;32a;35d;42dc;
4e;327;35d;4884;
50;327;35a;4e28;
50;326;35b;53cc;
52;329;35c;5974;
54;329;35a;5f18;
55;329;35a;64bc;
55;32a;35b;6a60;
58;329;358;700c;
58;32a;35b;75ac;
5a;328;35b;7b50;
5c;328;35e;80f4;
5d;328;35a;869c;
5e;327;35a;8c40;
60;327;35c;91e4;
62;329;359;9788;
63;325;35a;9d2c;
65;327;35e;a2d4;
65;326;35a;a878;
67;326;35d;ae1c;
68;328;359;b3c0;
6a;324;359;b968;
6b;323;35b;bf0c;
6d;323;35a;c4b0;
6f;324;35b;ca54;
70;321;35b;cffc;
72;322;35a;d5a0;
73;320;358;db44;
74;320;359;e0e8;
76;320;359;e690;
77;31e;356;ec34;
78;320;356;f1d8;
7b;31e;358;f77c;
7b;320;353;fd24;
7c;31c;355;2c8;
7e;31a;353;820;
80;319;354;d68;
80;31a;353;12b8;
83;318;352;185c;
83;319;352;1e04;
86;319;350;23a8;
87;319;34e;294c;
89;315;34d;2ef0;
8a;31b;34d;3494;
8b;31c;34c;3a3c;
8d;319;349;3fe0;
8e;318;34b;4584;
90;319;34a;4b28;
92;317;34a;50d0;
93;318;34a;5674;
95;316;347;5c20;
96;317;347;61bc;
98;318;344;6764;
99;317;344;6d08;
9a;317;343;72ac;
9c;316;343;7850;
9d;315;341;7df8;
9f;315;33f;839c;
9f;316;341;8940;
a2;314;340;8ee4;
a2;313;33f;948c;
a4;315;33f;9a30;
a5;310;33c;9fd4;
a7;310;33d;a578;
a8;30f;33c;ab20;
aa;30d;33a;b0c4;
ab;30d;33a;b668;
ad;30b;338;bc14;
ae;30e;338;c1b4;
af;30b;336;c758;
b1;30d;339;ccfc;
b2;30f;336;d2a0;
b3;30c;335;d848;
b3;30c;335;ddec;
b4;30c;337;e390;
b7;30c;334;e934;
b8;30c;334;eedc;
b8;30b;334;f480;
ba;30a;333;fa24;
bc;30a;332;ffc8;
bb;30a;332;570;
bd;30b;331;ac0;
be;30c;331;1014;
bf;30b;330;15b4;
c1;30b;32f;1b58;
c1;309;32b;2100;
c3;30c;32e;26a4;
c4;308;32e;2c48;
c5;30a;32a;31ec;
c7;30b;32c;3790;
c7;309;32b;3d38;
c8;30b;328;42dc;
ca;30c;328;4880;
ca;30a;327;4e28;
cb;309;326;53cc;
cd;309;325;5970;
cd;30a;324;5f14;
ce;309;323;64b8;
cf;30b;324;6a60;
d1;30a;31d;700c;
d1;30b;321;75a8;
d3;309;321;7b4c;
d3;30b;321;80f4;
d4;309;31d;8698;
d5;30c;320;8c3c;
d4;307;31c;91e0;
d6;307;31d;9788;
d6;307;31c;9d2c;
d8;307;31c;a2d0;
d8;309;31a;a874;
d9;309;31c;ae1c;
da;307;319;b3c0;
db;308;318;b964;
d9;306;31a;bf08;
db;308;318;c4b0;
db;306;315;ca54;
dc;307;31b;cff8;
dd;307;318;d59c;
dd;308;316;db44;
de;308;316;e0e8;
df;308;317;e68c;
df;307;316;ec30;
e0;306;316;f1d8;
e1;307;319;f77c;
e1;308;315;fd20;
e1;308;315;2c8;
e2;30a;314;81c;
e2;306;315;d68;
e2;309;315;12b4;
e3;309;316;185c;
e2;308;313;1e00;
e3;308;315;23a4;
e4;307;315;2948;
e4;308;312;2ef0;
e5;305;315;3494;
e5;308;317;3a38;
e5;308;312;3fe0;
e5;309;317;4584;
e4;307;315;4b28;
e5;307;314;50cc;
e4;308;315;5670;
e5;306;314;5c1c;
e4;306;314;61bc;
e5;308;316;6760;
e4;308;316;6d04;
e5;30b;315;72ac;
e6;306;315;7850;
e4;308;313;7df4;
e5;307;314;8398;
e5;308;314;8940;
e4;308;313;8ee4;
e4;307;313;9488;
e4;307;312;9a30;
e4;30d;315;9fd4;
e4;307;313;a578;
e4;307;311;ab1c;
e4;308;314;b0c0;
e3;305;313;b668;
e3;306;312;bc14;
e3;306;313;c1b0;
e2;307;312;c758;
e2;307;313;ccfc;
e1;306;312;d2a0;
e2;308;312;d844;
e1;306;312;ddec;
e1;307;311;e390;
e0;308;315;e934;
de;308;315;eed8;
df;308;315;f47c;
df;30a;313;fa24;
de;307;312;ffc8;
dd;305;313;56c;
