d2f4;315;e700;
e3;309;319;4330;
e3;308;317;48d8;
e4;307;315;4e7c;
e3;307;319;5420;
e3;308;317;59c4;
e4;307;317;5f68;
e3;307;316;6510;
e3;308;316;6ab4;
e3;306;316;7058;
e5;307;316;75fc;
e5;309;31a;7ba4;
e5;30a;318;8148;
e6;309;318;86ec;
e6;307;319;8c94;
e6;309;319;9238;
e5;306;318;97dc;
e5;308;319;9d80;
e6;307;31a;a328;
e5;305;319;a8cc;
e6;308;31c;ae70;
e5;308;318;b41c;
e5;307;319;b9b8;
e5;309;319;bf60;
e5;308;319;c504;
e4;307;317;caa8;
e3;307;317;d04c;
e3;308;318;d5f4;
e3;305;314;db98;
e3;308;31a;e13c;
e3;307;319;e6e0;
e3;309;31b;ec88;
e3;308;319;f22c;
e1;307;318;f7d0;
e2;307;319;fd74;
e2;308;318;31c;
e1;306;316;86c;
e1;308;31a;dbc;
df;306;31a;130c;
df;303;31a;18b0;
df;306;319;1e54;
df;305;31a;23fc;
df;306;31a;29a0;
dd;306;318;2f44;
dd;308;31b;34e8;
dd;307;317;3a8c;
dc;308;317;4034;
dc;308;31a;45d8;
da;305;31c;4b7c;
db;307;319;5120;
da;308;319;56c8;
da;307;319;5c6c;
d9;308;318;6210;
d7;307;31a;67b4;
d7;309;31a;6d5c;
d5;307;318;7300;
d5;308;31b;78a4;
d5;30b;31a;7e4c;
d4;309;316;83f0;
d2;306;31a;8994;
d2;307;319;8f38;
d0;306;318;94dc;
cf;306;317;9a84;
cf;305;31a;a028;
ce;307;318;a5cc;
cc;308;31c;ab70;
cd;306;31a;b118;
ca;306;318;b6bc;
ca;306;31b;bc60;
ca;307;319;c204;
c8;307;316;c7ac;
c7;308;318;cd50;
c7;308;31b;d2f4;
c4;306;31a;d89c;
c4;308;31a;de40;
c2;308;31c;e3e4;
c1;30a;31b;e988;
c1;308;31a;ef30;
bf;30a;318;f4d4;
be;307;317;fa78;
bd;308;31c;20;
bc;308;319;518;
bb;308;317;a68;
ba;307;31a;fb8;
b9;308;31a;1508;
b7;307;319;1aac;
b7;308;319;2050;
b5;308;31a;25f8;
b4;308;31c;2b9c;
b2;305;319;3140;
b1;306;31a;36e4;
b0;30b;31c;3c8c;
ae;306;31a;4230;
ad;309;319;47d4;
ac;309;319;4d78;
ab;306;31a;5320;
a9;306;31a;58c4;
a8;306;31a;5e68;
a6;307;31a;6414;
a4;307;319;69b4;
