;345;2700;
9e;34c;d0;
80;335;317;8130;
7f;333;318;86d4;
7c;334;31a;8c78;
7b;336;318;9220;
7a;335;319;97c4;
78;336;31c;9d68;
75;336;31b;a310;
74;336;31e;a8b4;
71;335;31b;ae58;
71;333;31c;b3fc;
6e;335;31d;b9a4;
6d;334;320;bf48;
6b;335;321;c4ec;
69;335;322;ca90;
67;335;31f;d038;
65;335;323;d5dc;
63;333;324;db80;
61;335;324;e124;
60;334;325;e6cc;
5e;335;328;ec70;
5b;336;328;f214;
5a;336;327;f7b8;
58;335;32a;fd5c;
57;336;32b;304;
56;336;32e;854;
53;335;32e;da4;
51;336;32f;12f4;
50;335;32f;1898;
50;337;331;1e3c;
4d;336;332;23e4;
4b;334;332;2988;
4a;335;334;2f2c;
48;334;334;34d0;
46;338;337;3a78;
46;334;335;4020;
43;333;338;45c0;
43;335;337;4b64;
41;336;337;510c;
3f;339;33a;56b0;
3e;333;33f;5c54;
3d;331;340;61f8;
3b;337;33d;679c;
3a;331;33e;6d44;
39;335;340;72e8;
36;334;33d;788c;
35;334;342;7e34;
34;334;343;83d8;
33;336;341;897c;
31;336;344;8f20;
31;335;345;94c8;
2f;334;343;9a6c;
2e;334;346;a018;
2e;334;345;a5b4;
2c;336;349;ab5c;
2b;335;349;b100;
2b;336;34a;b6a4;
29;334;34a;bc48;
27;338;34e;c1f0;
27;334;34c;c794;
26;335;349;cd38;
25;335;34b;d2dc;
25;335;34b;d880;
23;337;350;de28;
23;336;351;e3cc;
22;333;34f;e970;
21;335;351;ef14;
20;334;352;f4bc;
20;335;351;fa60;
1f;335;351;c;
1f;333;355;4ac;
1e;336;352;9fc;
1c;333;355;f4c;
1d;334;355;149c;
1c;333;355;1a40;
1c;336;355;1fe4;
1b;338;356;2588;
1b;334;357;2b30;
1b;336;353;30d4;
19;332;355;3678;
1a;334;358;3c20;
19;336;355;41c4;
1a;335;35a;4768;
1a;333;357;4d0c;
19;336;35a;52b4;
18;336;357;5858;
19;333;359;5dfc;
19;337;35c;63a0;
18;334;35a;6948;
18;333;35a;6eec;
18;336;358;7490;
18;332;35b;7a34;
19;334;35b;7fdc;
18;336;35c;8580;
19;336;35e;8b24;
1a;334;35c;90c8;
19;336;35b;9670;
1b;332;35b;9c18;
1b;333;35e;a1b8;
1a;335;35c;a75c;
1b;334;35c;ad00;
1b;334;35b;b2a8;
1b;336;35a;b84c;
1c;336;35d;bdf0;
1c;335;35e;c398;
1d;336;359;c93c;
1d;335;35b;cee0;
1e;333;35f;d484;
1e;335;35b;da2c;
1f;337;35b;dfd0;
20;333;35b;e574;
21;335;35c;eb18;
22;338;35b;f0c0;
22;334;35d;f664;
23;335;35d;fc10;
23;335;35b;1ac;
25;336;359;6fc;
26;333;35b;c4c;
27;333;35b;119c;
28;333;35b;1744;
29;333;35c;1ce8;
29;336;360;228c;
2b;334;35c;2830;
2c;335;35b;2dd8;
2c;336;35e;337c;
2e;333;35e;3920;
2e;336;35c;3ec4;
30;334;35e;446c;
30;334;35d;4a10;
32;336;35c;4fb4;
34;334;35d;5558;
35;333;35d;5afc;
36;336;35c;60a4;
37;336;35c;6648;
39;335;35b;6bec;
39;336;360;7194;
3c;335;35c;7738;
3d;335;35e;7cdc;
3e;333;35d;8280;
40;336;35d;8828;
42;334;35d;8dcc;
44;336;35c;9370;
45;335;361;9914;
46;334;35b;9ebc;
48;336;35c;a460;
49;336;35d;aa04;
4b;335;35d;afa8;
4c;335;35d;b550;
4e;335;35b;baf4;
50;333;35b;c098;
50;335;35d;c63c;
53;334;35d;cbe4;
55;333;35e;d188;
57;336;35c;d72c;
57;336;35b;dcd0;
5a;335;35e;e278;
5b;335;35b;e820;
5d;335;35b;edc0;
60;337;35d;f364;
60;336;35d;f90c;
63;335;35b;feb0;
65;336;35d;454;
66;336;35e;9a4;
68;335;35d;ef4;
69;335;35c;1444;
6b;333;35c;19e8;
6d;333;35b;1f90;
6f;336;35a;2534;
71;335;359;2ad8;
73;336;35b;307c;
75;334;358;3620;
76;333;359;3bc8;
78;335;355;416c;
7a;334;356;4710;
7c;335;356;4cb8;
7d;339;355;525c;
80;335;352;5808;
81;335;353;5da4;
84;336;352;634c;
85;335;352;68f0;
86;333;353;6e94;
88;336;350;7438;
8a;333;34d;79dc;
8c;335;34d;7f84;
8e;336;34d;8528;
91;337;34c;8acc;
92;335;34f;9074;
93;335;34b;9618;
95;337;34e;9bbc;
97;336;34b;a160;
99;338;349;a708;
9a;335;34a;acac;
9d;337;34b;b250;
9e;336;346;b7f4;
a0;335;344;bd9c;
a3;339;345;c340;
a3;336;341;c8e4;
a5;337;343;ce88;
a8;336;340;d42c;
a8;334;342;d9d4;
aa;335;340;df78;
ad;338;33a;e51c;
ae;336;33a;eac0;
b0;335;33d;f068;
b1;336;339;f60c;
b2;338;339;fbb0;
b4;336;336;158;
b6;334;338;6a8;
b8;337;337;bf8;
b9;336;334;1144;
ba;335;331;16ec;
bc;338;335;1c90;
bd;335;334;2234;
be;336;330;27dc;
bf;336;330;2d80;
c2;333;331;3324;
c4;337;330;38c8;
c4;335;32c;3e70;
c6;332;32a;4418;
c7;337;32d;49b8;
c8;337;32a;4f5c;
c9;333;326;5504;
cb;337;325;5aa8;
cb;336;326;604c;
cc;337;327;65f0;
cd;335;323;6b94;
d0;335;324;713c;
d1;334;322;76e0;
d1;336;320;7c84;
d3;337;321;822c;
d4;335;31f;87d0;
d4;334;31d;8d74;
d5;332;31e;9318;
d7;335;31e;98c0;
d8;336;31c;9e64;
d9;333;31c;a410;
d9;336;31c;a9ac;
da;336;31a;af54;
dc;335;31d;b4f8;
dc;333;319;ba9c;
dd;335;318;c040;
dd;336;318;c5e8;
de;335;316;cb8c;
df;336;319;d130;
e0;335;319;d6d4;
df;336;315;dc7c;
e0;337;316;e220;
e0;335;317;e7c4;
e1;337;313;ed68;
e2;337;315;f30c;
e2;336;313;f8b4;
e2;334;312;fe58;
e4;336;312;3fc;
e3;336;313;94c;
e4;337;313;e9c;
e4;337;312;13ec;
e4;335;312;1994;
e3;333;313;1f38;
e5;335;311;24dc;
e5;335;311;2a80;
e4;338;314;3028;
e5;335;30f;35cc;
e4;335;315;3b70;
e6;335;312;4114;
e4;336;310;46bc;
e4;336;315;4c60;
e6;335;312;5204;
e5;336;313;57a8;
e5;336;312;5d50;
e4;336;313;62f4;
e5;337;313;6898;
e5;337;312;6e3c;
e4;335;312;73e4;
e2;337;315;7988;
e3;338;313;7f2c;
e3;335;312;84d0;
e2;339;314;8a78;
e1;335;312;9020;
e1;332;311;95c0;
e1;335;311;9b64;
e0;335;312;a10c;
df;334;311;a6b0;
de;336;312;ac54;
dd;333;313;b1f8;
de;336;312;b7a0;
dd;336;310;bd44;
db;337;313;c2e8;
dc;335;313;c88c;
da;335;313;ce34;
da;337;313;d3d8;
da;337;315;d97c;
d8;336;313;df20;
d7;336;313;e4c8;
d5;336;312;ea6c;
d4;336;314;f018;
d3;336;312;f5b4;
d2;336;312;fb5c;
d1;335;313;100;
d1;333;312;650;
d0;334;312;ba0;
cf;334;315;10f0;
cd;337;314;1694;
cd;333;313;1c38;
cc;335;311;21e0;
ca;335;314;2784;
c9;334;314;2d28;
c7;337;314;32cc;
c5;335;313;3870;
c4;336;314;3e18;
c4;335;312;43bc;
c1;336;313;4960;
bf;336;314;4f04;
bf;336;314;54ac;
bd;338;316;5a50;
bc;334;314;5ff4;
bb;335;314;659c;
b8;336;314;6b40;
b8;335;314;70e4;
b5;333;314;7688;
b4;335;314;7c30;
b2;335;311;81d4;
b1;335;315;8778;
af;336;314;8d1c;
ae;336;315;92c0;
ad;337;312;9868;
aa;334;313;9e0c;
a9;334;314;a3b0;
a7;335;317;a958;
a5;335;314;aefc;
a4;333;313;b4a0;
a2;337;312;ba44;
a1;337;318;bfe8;
9e;333;314;c590;
9d;335;314;cb34;
9b;335;315;d0d8;
99;333;318;d680;
96;337;313;dc24;
95;335;313;e1c8;
94;336;316;e76c;
91;335;315;ed14;
8f;337;316;f2b8;
8e;336;316;f85c;
8d;336;315;fe00;
8b;336;314;3a4;
88;336;315;8f8;
87;335;316;e48;
84;336;315;1398;
83;335;317;193c;
82;335;317;1ee0;
80;339;319;2484;
7e;335;318;2a2c;
7c;337;319;2fd0;
79;337;31b;3574;
78;334;31a;3b18;
77;335;319;40bc;
74;334;31b;4664;
73;335;31b;4c10;
70;336;31d;51ac;
6f;335;31b;5754;
6e;335;320;5cf8;
6c;337;31f;629c;
69;336;31f;6840;
68;334;322;6de8;
65;335;323;738c;
64;335;324;7930;
63;334;325;7ed4;
60;336;325;847c;
5f;336;326;8a20;
5e;335;329;8fc4;
5c;338;32a;9568;
59;336;32a;9b10;
58;336;32c;a0b4;
56;335;32b;a658;
54;335;32e;abfc;
53;334;32d;b1a0;
51;336;32e;b748;
4f;335;331;bcec;
4e;335;334;c290;
4c;335;331;c834;
4b;333;333;cddc;
4a;335;333;d380;
48;336;335;d924;
46;335;337;decc;
45;338;338;e470;
42;339;339;ea14;
41;336;33b;efb8;
41;333;33a;f560;
3e;336;33b;fb04;
3c;336;33b;a8;
3b;332;33e;5a4;
3a;336;33e;af4;
39;333;33f;1044;
37;336;340;15e8;
36;333;342;1b8c;
35;333;341;2134;
34;336;343;26d8;
33;335;343;2c7c;
32;335;346;3220;
30;337;347;37c8;
2f;334;347;3d6c;
2f;332;347;4310;
2d;336;348;48b4;
2b;334;348;4e58;
2a;335;34b;5404;
29;337;347;59a4;
28;33a;34b;5f48;
27;333;349;64f0;
26;336;34d;6a94;
26;334;34d;7038;
25;334;34c;75dc;
23;336;34d;7b84;
23;335;351;8128;
23;333;34f;86cc;
21;336;34f;8c70;
21;335;353;9214;
20;333;351;97bc;
1f;336;351;9d60;
1e;335;352;a304;
1e;335;351;a8ac;
1e;335;354;ae50;
1d;335;355;b3f4;
1d;333;356;b998;
1c;335;353;bf40;
1c;332;356;c4e4;
1a;331;355;ca88;
1a;335;355;d02c;
1a;336;356;d5d4;
1b;335;358;db78;
19;336;357;e11c;
19;335;357;e6c0;
1a;335;359;ec68;
19;336;359;f20c;
19;334;356;f7b0;
19;334;35a;fd54;
18;338;35a;2fc;
19;335;35d;84c;
19;333;35a;d9c;
18;336;35b;12ec;
18;335;35b;1890;
19;336;35a;1e34;
19;337;35c;23d8;
19;336;35b;2980;
19;334;35c;2f24;
19;338;35a;34c8;
19;339;35e;3a6c;
1a;334;359;4018;
1a;335;35b;45b8;
1a;335;35e;4b5c;
1b;334;35b;5100;
1a;335;35c;56a8;
1c;332;35b;5c4c;
1c;334;35c;61f0;
1c;335;35b;6794;
1d;333;35c;6d3c;
1d;331;35d;72e0;
1e;334;357;7884;
1f;335;35b;7e28;
20;337;357;83cc;
20;336;35a;8974;
21;335;35b;8f18;
23;335;357;94bc;
23;335;357;9a64;
24;335;35b;a00c;
25;335;359;a5ac;
25;338;35c;ab50;
27;335;35c;b0f8;
27;334;35c;b69c;
28;336;358;bc40;
29;335;35a;c1e4;
2a;339;35b;c788;
2c;337;35b;cd30;
2d;336;35d;d2d4;
2e;334;35c;d878;
2e;336;35c;de1c;
30;335;35f;e3c4;
32;335;35c;e968;
32;335;359;ef0c;
33;334;35b;f4b4;
34;334;35b;fa58;
36;335;35b;fffc;
36;337;35b;5a0;
39;337;35b;af0;
3a;334;35c;1040;
3a;336;35b;15e8;
3c;336;35b;1b8c;
3e;335;35b;2130;
40;333;35d;26d4;
41;32f;35c;2c7c;
43;335;35b;3220;
44;336;35a;37c4;
45;335;35c;3d68;
47;335;35c;430c;
48;338;35b;48b4;
4a;336;35a;4e58;
4c;337;357;53fc;
4d;335;35c;59a4;
50;336;35e;5f48;
51;336;35c;64ec;
52;339;35c;6a90;
54;336;35b;7038;
55;337;35c;75dc;
58;337;35b;7b80;
59;335;35d;8124;
5b;335;35b;86cc;
5c;336;357;8c70;
5e;335;35c;9214;
61;333;35b;97b8;
62;336;35b;9d60;
63;336;35b;a304;
66;335;35c;a8a8;
68;337;35b;ae4c;
6a;335;35b;b3f4;
6a;338;35b;b998;
6d;336;359;bf3c;
6e;336;35a;c4e0;
71;334;358;ca88;
72;336;355;d02c;
74;335;358;d5d0;
76;335;356;db74;
77;333;356;e11c;
79;336;353;e6c0;
7c;336;355;ec64;
7e;336;356;f208;
7f;339;355;f7b0;
81;333;352;fd54;
83;337;351;2f8;
84;334;350;848;
86;336;351;d98;
89;336;351;12e8;
8a;336;34f;188c;
8c;336;34c;1e30;
8e;336;34c;23d8;
90;337;34c;297c;
91;335;34c;2f20;
93;337;34a;34c4;
94;337;34d;3a6c;
97;335;349;4018;
99;336;345;45b4;
9a;336;348;4b5c;
9c;336;348;5100;
9e;336;346;56a4;
9f;336;346;5c48;
a1;336;348;61f0;
a3;335;343;6794;
a5;335;341;6d38;
a7;333;342;72dc;
a8;336;342;7884;
a9;336;340;7e28;
ac;332;33e;83cc;
ad;334;33c;8970;
af;335;33d;8f18;
b1;337;33b;94bc;
b1;336;33d;9a60;
b4;335;33c;a00c;
b5;333;337;a5ac;
b7;336;339;ab50;
b9;335;338;b0f4;
ba;334;336;b698;
bb;338;338;bc40;
bd;335;336;c1e4;
bf;336;336;c788;
c0;336;332;cd2c;
c2;337;331;d2d4;
c3;335;331;d878;
c4;337;32e;de1c;
c6;335;32e;e3c0;
c7;335;32d;e964;
c8;338;32a;ef0c;
ca;337;32a;f4b0;
cb;335;329;fa54;
cb;336;328;fffc;
cd;336;32b;5a0;
cd;336;324;af0;
cf;335;325;1040;
d0;337;31f;15e4;
d2;336;322;1b88;
d2;337;323;212c;
d2;335;31e;26d4;
d4;338;31f;2c78;
d7;336;320;321c;
d5;335;320;37c4;
d7;336;320;3d68;
d9;334;31c;430c;
d9;337;31c;48b0;
db;339;31a;4e54;
db;339;319;53fc;
dc;338;31b;59a0;
dd;333;319;5f44;
dd;336;319;64ec;
de;335;319;6a90;
df;336;317;7034;
e0;335;318;75d8;
e1;337;316;7b80;
e0;336;315;8124;
e2;334;316;86c8;
e2;337;314;8c6c;
e3;336;313;9214;
e3;336;315;97b8;
e3;333;310;9d5c;
e3;335;313;a300;
e3;334;312;a8a8;
e3;336;311;ae4c;
e5;338;312;b3f0;
e5;336;313;b994;
e4;336;311;bf3c;
e5;335;313;c4e0;
e5;338;311;ca84;
e6;337;313;d028;
e5;337;314;d5d0;
e6;339;312;db74;
e6;339;312;e118;
e6;336;313;e6bc;
e6;337;313;ec64;
e5;336;311;f208;
e5;337;312;f7ac;
e4;336;311;fd50;
e4;338;313;2f8;
e4;335;315;848;
e4;335;312;d98;
e4;337;313;12e4;
e4;337;313;188c;
e2;335;312;1e30;
e3;335;314;23d4;
e2;337;310;297c;
e2;335;311;2f20;
e2;337;311;34c4;
e1;338;313;3a68;
e0;337;313;4014;
e0;336;30f;45b4;
df;339;313;4b58;
de;335;311;50fc;
dd;336;313;56a4;
dc;336;313;5c48;
dc;333;315;61ec;
dc;335;313;6790;
db;336;312;6d38;
da;336;313;72dc;
d9;335;315;7880;
d8;339;313;7e24;
d7;335;312;83cc;
d6;336;312;8970;
d4;338;313;8f14;
d5;336;312;94b8;
d2;334;310;9a5c;
d2;336;314;a008;
d1;335;311;a5a8;
cf;336;312;ab4c;
ce;336;312;b0f0;
ce;336;311;b698;
cd;337;310;bc3c;
cb;335;313;c1e0;
ca;336;312;c788;
c7;336;313;cd2c;
c7;336;315;d2d0;
c5;339;313;d874;
c3;337;313;de1c;
c4;336;314;e3c0;
c2;335;314;e964;
c0;336;314;ef08;
bf;335;315;f4b0;
bd;335;314;fa54;
bd;336;314;fff8;
ba;338;313;59c;
b9;336;312;aec;
b7;333;315;103c;
b6;337;317;15e0;
b4;336;313;1b88;
b4;335;316;212c;
b2;335;314;26d0;
b0;338;312;2c78;
af;334;314;321c;
ac;336;315;37c0;
ab;339;314;3d64;
a9;33b;313;4308;
a7;335;315;48b0;
a6;335;314;4e54;
a5;335;314;53f8;
a3;335;315;599c;
a0;336;314;5f44;
9e;333;316;64e8;
9c;336;311;6a8c;
9b;335;314;7034;
9a;336;314;75d8;
98;336;311;7b7c;
96;337;313;8120;
94;334;314;86c8;
91;339;315;8c6c;
90;33a;313;9210;
8f;337;312;97b4;
8c;335;314;9d5c;
8b;336;317;a300;
89;336;316;a8a4;
87;337;317;ae48;
85;334;314;b3f0;
83;336;318;b994;
81;339;313;bf38;
7f;336;317;c4dc;
7e;334;317;ca80;
7d;337;319;d028;
7a;336;31a;d5cc;
79;336;319;db70;
77;335;319;e114;
75;337;31c;e6bc;
74;335;31c;ec60;
71;338;31c;f204;
6f;337;31e;f7ac;
6d;335;31e;fd50;
6c;335;320;2f4;
6a;336;320;844;
68;336;321;d94;
66;337;31d;12e4;
65;336;322;1888;
63;335;324;1e30;
61;336;324;23d4;
5f;335;326;2978;
5d;333;327;2f1c;
5b;333;327;34c4;
5a;335;32a;3a68;
58;33a;328;4014;
57;338;32c;45b0;
55;335;32c;4b58;
53;333;32d;50fc;
51;335;330;56a0;
4f;334;333;5c44;
4e;335;331;61ec;
4c;336;333;6790;
4b;334;334;6d34;
4a;337;336;72d8;
48;336;336;7880;
47;334;337;7e24;
44;333;337;83c8;
43;336;338;896c;
42;332;339;8f14;
40;338;33c;94b8;
3f;336;33b;9a5c;
3d;334;33f;a008;
3d;335;33e;a5a8;
39;336;33b;ab4c;
38;334;33d;b0f0;
38;337;33e;b694;
37;336;33f;bc38;
36;336;343;c1e0;
33;336;340;c784;
33;335;342;cd28;
31;337;344;d2cc;
30;336;346;d874;
2f;335;342;de18;
2e;335;345;e3bc;
2d;335;345;e964;
2b;336;345;ef08;
2b;335;349;f4ac;
2a;335;349;fa50;
28;337;349;fff4;
27;334;34a;59c;
26;336;347;aec;
26;333;34d;103c;
25;335;34c;15e0;
24;334;34c;1b84;
23;333;34d;212c;
22;336;34e;26d0;
22;333;351;2c74;
21;335;34f;3218;
20;335;34d;37c0;
1f;333;351;3d64;
1f;335;352;4308;
1e;335;351;48ac;
1d;337;354;4e54;
1e;335;354;53f8;
1d;334;350;599c;
1c;336;353;5f40;
1b;333;353;64e8;
1b;336;354;6a8c;
1b;336;354;7030;
1a;334;355;75d4;
19;337;354;7b7c;
1b;336;353;8120;
19;334;356;86c4;
19;337;354;8c68;
19;335;357;920c;
19;334;356;97b4;
19;337;357;9d58;
19;336;359;a2fc;
19;334;359;a8a4;
19;336;358;ae48;
19;335;35b;b3ec;
19;333;35a;b990;
19;335;358;bf38;
19;331;35a;c4dc;
19;335;358;ca80;
18;338;359;d024;
19;334;359;d5c8;
19;333;35b;db70;
19;336;359;e114;
1b;335;359;e6b8;
1a;334;35a;ec60;
19;336;35b;f204;
1b;334;359;f7a8;
1c;333;359;fd4c;
1c;335;359;2f4;
1d;336;359;844;
1d;334;35c;d94;
1d;334;35d;12e4;
1e;336;35a;1888;
20;333;35b;1e2c;
1f;336;35c;23d0;
20;335;35b;2974;
21;333;35c;2f1c;
22;335;359;34c0;
23;335;35a;3a64;
23;333;35a;4010;
24;336;35c;45b0;
25;336;35f;4b54;
26;333;35c;50f8;
27;335;359;569c;
28;335;35d;5c44;
2a;333;35c;61e8;
2a;335;35b;678c;
2b;334;35c;6d34;
2c;333;35d;72d8;
2d;336;35b;787c;
2e;337;35d;7e20;
30;333;35b;83c4;
30;336;35b;896c;
32;335;35c;8f10;
34;334;35c;94b4;
35;336;35e;9a5c;
36;333;35c;a004;
38;335;35c;a5a4;
38;335;35c;ab48;
39;333;35e;b0f0;
3c;335;35f;b694;
3d;335;35c;bc38;
3e;335;35c;c1dc;
3f;333;35b;c780;
42;335;35c;cd28;
43;335;35b;d2cc;
44;333;35e;d870;
45;336;35c;de18;
47;334;35d;e3bc;
49;335;35c;e960;
4a;335;35b;ef04;
4c;333;35c;f4ac;
4e;335;35f;fa50;
4f;336;35b;fff4;
51;336;35a;598;
52;336;359;ae8;
54;335;35d;1038;
56;336;35b;15dc;
57;338;35e;1b84;
59;334;35c;2128;
5b;336;35b;26cc;
5d;337;35c;2c74;
5e;335;35b;3218;
60;336;35a;37bc;
61;335;35a;3d60;
64;335;35e;4308;
65;339;35b;48ac;
67;337;35b;4e50;
69;335;35a;53f4;
6a;333;35a;599c;
6c;336;35b;5f40;
6e;336;359;64e4;
70;336;359;6a88;
72;335;35b;7030;
74;335;35a;75d4;
76;337;357;7b78;
77;337;356;811c;
79;336;355;86c0;
7c;337;355;8c68;
7d;337;354;920c;
7f;335;355;97b0;
81;335;350;9d58;
82;335;350;a2fc;
84;334;34f;a8a0;
86;336;34f;ae44;
88;335;34f;b3e8;
8a;334;34e;b990;
8c;334;34a;bf34;
8e;336;34c;c4d8;
8f;332;34c;ca80;
92;336;34d;d024;
93;336;34a;d5c8;
95;336;34b;db6c;
97;337;34b;e114;
98;336;34a;e6b8;
9b;337;348;ec5c;
9b;338;348;f200;
9d;339;348;f7a8;
9f;336;346;fd4c;
a2;336;344;2f0;
a3;335;344;840;
a5;338;343;d90;
a6;336;344;12e0;
a7;336;342;1884;
a9;336;33e;1e2c;
ac;337;33d;23d0;
ad;338;340;2974;
af;334;33d;2f18;
b1;337;33d;34c0;
b3;335;33e;3a64;
b4;336;33b;4010;
b4;339;33b;45ac;
b7;335;33b;4b54;
b9;335;33a;50f8;
ba;337;338;569c;
bb;336;338;5c40;
bd;338;339;61e8;
be;336;337;678c;
bf;336;339;6d30;
c2;335;333;72d4;
c2;337;331;787c;
c3;336;334;7e20;
c5;334;330;83c4;
c6;336;32f;8968;
c8;338;32e;8f10;
ca;336;32d;94b4;
ca;337;32c;9a58;
ca;338;32b;9ffc;
cd;335;32a;a5a0;
cd;335;327;ab48;
cf;337;329;b0ec;
d0;335;327;b690;
d1;336;325;bc34;
d2;336;325;c1dc;
d3;334;324;c780;
d5;335;321;cd24;
d6;338;322;d2cc;
d7;336;322;d870;
d8;336;320;de14;
d8;337;31f;e3b8;
da;336;31f;e960;
da;336;31c;ef04;
db;33a;31e;f4a8;
db;333;31d;fa4c;
dc;337;31a;fff4;
de;335;31c;598;
de;337;319;ae8;
de;335;319;1038;
df;336;318;15dc;
e0;335;319;1b80;
e0;336;317;2128;
e0;335;314;26cc;
e1;336;315;2c70;
e2;337;316;3214;
e2;335;313;37b8;
e1;339;317;3d60;
e3;335;314;4304;
e3;335;314;48a8;
e3;338;313;4e4c;
e5;335;313;53f4;
e4;336;314;5998;
e4;336;310;5f3c;
e4;337;311;64e0;
e5;337;312;6a88;
e5;33a;312;702c;
e6;336;313;75d0;
e5;336;311;7b78;
e4;338;310;811c;
e5;335;311;86c0;
e5;337;30e;8c64;
e5;339;312;920c;
e5;337;312;97b0;
e5;335;314;9d54;
e5;337;314;a2f8;
e4;335;311;a8a0;
e4;336;30f;ae44;
e4;338;311;b3e8;
e3;333;313;b98c;
e3;335;312;bf34;
e2;335;314;c4d8;
e2;333;311;ca7c;
e1;339;311;d020;
e1;338;312;d5c8;
e1;337;311;db6c;
df;336;313;e110;
e0;335;30f;e6b4;
e0;336;313;ec5c;
de;336;30d;f200;
de;337;314;f7a4;
dc;335;311;fd48;
dd;335;311;2f0;
db;335;313;840;
da;336;312;d8c;
da;336;310;12e0;
d9;335;311;1884;
d8;333;311;1e28;
d8;335;30f;23cc;
d5;338;312;2974;
d6;337;314;2f18;
d4;336;30f;34bc;
d1;334;30e;3a60;
d1;335;310;400c;
d1;336;310;45ac;
cf;335;311;4b50;
ce;334;312;50f4;
ce;337;30f;569c;
cc;338;313;5c40;
cc;337;311;61e4;
ca;336;310;6788;
c8;336;313;6d30;
c8;337;312;72d4;
c6;335;311;7878;
c4;336;312;7e1c;
c3;336;30f;83c0;
c1;336;312;8968;
c0;337;311;8f0c;
bf;336;312;94b0;
bd;333;311;9a58;
bc;338;312;9ffc;
bb;335;313;a5a0;
ba;337;312;ab44;
b8;337;313;b0e8;
b7;338;313;b690;
b5;335;310;bc34;
b3;334;311;c1d8;
b2;333;310;c780;
b0;337;311;cd24;
af;339;313;d2c8;
ad;336;310;d86c;
ab;335;311;de14;
a9;338;315;e3b8;
a8;333;311;e95c;
a5;337;310;ef00;
a4;336;312;f4a8;
a2;334;310;fa4c;
a1;338;311;fff0;
9f;339;315;594;
9e;337;311;ae4;
9b;337;310;1034;
9a;335;313;15dc;
97;337;313;1b80;
97;336;312;2124;
95;338;311;26c8;
92;335;313;2c70;
91;337;312;3214;
8f;336;311;37b8;
8d;336;314;3d5c;
8c;336;312;4304;
89;334;314;48a8;
88;334;314;4e4c;
86;338;316;53f0;
83;337;315;5998;
82;335;316;5f3c;
81;338;314;64e0;
7e;335;313;6a84;
7c;332;316;702c;
7b;338;316;75d0;
79;337;315;7b74;
77;334;319;8118;
75;335;319;86c0;
73;335;319;8c64;
71;338;31b;9208;
6f;335;31c;97ac;
6d;337;31e;9d50;
6b;335;31e;a2f8;
6a;332;31f;a89c;
68;337;31e;ae40;
66;338;323;b3e8;
65;333;323;b98c;
63;334;321;bf30;
61;335;327;c4d4;
5f;336;324;ca78;
5e;337;325;d020;
5c;335;32a;d5c4;
5a;334;329;db68;
58;336;32a;e10c;
57;337;32b;e6b4;
55;337;32e;ec58;
53;336;32b;f1fc;
51;336;32d;f7a4;
50;335;330;fd48;
4e;335;331;2ec;
4d;337;331;83c;
4b;335;336;d8c;
4a;335;332;12dc;
48;334;335;1880;
47;336;33a;1e28;
45;336;337;23cc;
44;338;337;2970;
42;335;339;2f14;
40;336;33b;34bc;
3f;335;33e;3a60;
3e;33a;33d;400c;
3d;333;33d;45a8;
3b;336;33e;4b50;
39;338;33f;50f4;
38;337;33d;5698;
37;338;343;5c3c;
36;336;33f;61e4;
34;334;341;6788;
33;336;344;6d2c;
32;335;346;72d0;
30;334;343;7874;
30;334;345;7e1c;
2e;335;347;83c0;
2d;338;347;8964;
2b;337;348;8f08;
2c;335;349;94b0;
2a;335;34b;9a54;
29;337;34d;9ff8;
28;336;34b;a5a0;
26;338;34a;ab44;
26;336;34b;b0e8;
25;338;34b;b68c;
24;338;34d;bc34;
23;334;34f;c1d8;
22;334;34e;c77c;
22;335;34c;cd20;
21;335;350;d2c8;
20;336;34f;d86c;
20;336;34f;de10;
1f;336;351;e3b4;
1f;337;350;e95c;
1e;337;352;ef00;
1d;338;353;f4a4;
1d;335;354;fa48;
1c;337;354;fff0;
1b;336;354;594;
1b;338;350;ae4;
1b;336;355;1034;
1a;339;354;15d8;
1a;338;353;1b7c;
1a;337;355;2124;
19;33a;355;26c8;
19;338;356;2c6c;
19;338;357;3210;
19;338;355;37b8;
19;336;355;3d5c;
19;339;357;4300;
19;33a;358;48a4;
17;338;358;4e48;
19;339;357;53f0;
19;33a;359;5994;
19;336;35b;5f38;
19;338;35b;64dc;
19;338;35b;6a84;
18;33c;35f;7028;
19;339;35e;75cc;
1a;33a;35b;7b74;
1b;33c;35b;8118;
1a;339;35a;86bc;
1b;339;35c;8c60;
1b;339;35c;9204;
1c;33a;35b;97ac;
1c;33a;359;9d50;
1b;339;35a;a2f4;
1d;337;35c;a89c;
1e;33a;35c;ae40;
1e;338;362;b3e4;
1f;337;35c;b988;
1f;33a;35c;bf30;
20;338;35e;c4d4;
21;339;35b;ca78;
21;33a;35b;d020;
22;338;35e;d5c4;
23;339;35e;db68;
23;33c;35b;e10c;
24;339;35d;e6b0;
25;337;35c;ec58;
26;33a;35d;f1fc;
27;339;35b;f7a0;
28;339;35c;fd44;
29;33a;35d;2ec;
2a;336;35b;83c;
2b;338;35b;d8c;
2c;337;360;12d8;
2d;33b;35d;1880;
2f;33a;35b;1e24;
30;33b;35b;23c8;
30;33a;359;296c;
32;33b;35c;2f14;
33;33b;359;34b8;
34;33a;35c;3a5c;
35;337;35b;4008;
37;339;35b;45a8;
39;33a;35c;4b4c;
