;345;2700;
9e;34c;d0;
dc;334;318;1c44;
dd;337;319;21e8;
de;336;316;278c;
de;335;317;2d30;
df;336;318;32d8;
df;336;316;387c;
e1;336;316;3e20;
e1;337;314;43c4;
e1;336;314;496c;
e1;334;314;4f10;
e3;337;314;54b4;
e2;335;314;5a58;
e3;337;314;5ffc;
e4;336;311;65a4;
e2;334;310;6b48;
e5;332;312;70ec;
e5;336;312;7690;
e4;336;318;7c38;
e5;337;312;81dc;
e5;335;310;8780;
e6;336;314;8d28;
e5;336;312;92cc;
e5;336;313;9870;
e5;335;316;9e14;
e5;336;313;a3bc;
e5;335;313;a960;
e4;336;314;af04;
e6;336;315;b4a8;
e4;336;311;ba50;
e5;335;313;bff4;
e4;334;312;c598;
e4;335;313;cb3c;
e3;336;311;d0e0;
e3;335;314;d688;
e3;339;313;dc2c;
e2;336;314;e1d0;
e2;335;314;e774;
e1;336;311;ed1c;
e1;337;314;f2c0;
e1;333;311;f864;
df;336;313;fe08;
e0;336;315;3b0;
df;336;312;900;
dd;334;312;e50;
de;336;314;13a0;
dd;338;314;1944;
dc;336;311;1ee8;
dc;334;312;2490;
dc;336;317;2a34;
da;335;311;2fd8;
da;337;314;357c;
d9;339;313;3b24;
d7;337;314;40c8;
d6;335;314;466c;
d6;338;312;4c18;
d3;336;310;51b8;
d3;335;314;575c;
d1;336;312;5d00;
d2;337;312;62a4;
d1;335;313;684c;
ce;333;311;6df0;
ce;337;311;7394;
cc;338;312;7938;
cc;336;313;7ee0;
cb;337;313;8484;
c8;337;313;8a28;
c7;335;312;8fcc;
c6;336;313;9574;
c4;336;313;9b18;
c4;335;311;a0bc;
c3;335;314;a660;
c1;335;314;ac0c;
bf;334;313;b1ac;
bf;336;315;b750;
bd;335;313;bcf4;
bb;335;312;c298;
b9;336;313;c840;
b7;337;312;cde4;
b7;335;313;d388;
b5;337;314;d930;
b3;337;314;ded4;
b2;335;313;e478;
b0;337;310;ea1c;
af;337;314;efc4;
ad;335;314;f568;
ab;336;311;fb0c;
a9;336;312;b0;
a7;333;315;5ac;
a6;335;312;afc;
a4;336;312;104c;
a3;336;314;15f0;
a1;336;315;1b98;
9f;334;314;213c;
9e;336;314;26e0;
9b;335;315;2c84;
9b;337;314;322c;
99;337;315;37d0;
96;336;316;3d74;
94;336;316;4318;
93;335;314;48c0;
91;336;314;4e64;
90;335;312;5410;
8e;335;314;59ac;
8b;331;316;5f54;
8a;335;312;64f8;
88;335;313;6a9c;
85;335;316;7040;
85;333;316;75e8;
82;336;313;7b8c;
