9328;348;9b60;
68;2ff;313;acbc;
66;2fe;317;b264;
65;2fc;315;b810;
62;302;314;bdac;
61;300;319;c350;
5f;301;318;c8f8;
5e;304;316;ce9c;
5c;304;31b;d440;
5a;302;31b;d9e4;
57;308;31b;df8c;
57;308;31b;e530;
55;308;31d;ead4;
53;309;321;f078;
51;30b;320;f620;
4f;30a;31f;fbc4;
4e;30f;321;168;
4c;30d;322;6b8;
4b;311;325;c10;
49;312;325;1158;
48;313;325;16fc;
46;313;327;1ca4;
45;311;328;2248;
43;318;32a;27ec;
42;315;32c;2d90;
41;319;329;3338;
3e;315;330;38dc;
3d;317;32f;3e80;
3c;318;32d;4424;
3b;31c;331;49cc;
3a;318;334;4f70;
38;31a;333;5514;
37;31a;333;5ab8;
36;31b;332;6060;
33;319;333;6604;
33;31b;336;6ba8;
32;31b;336;714c;
2f;31e;338;76f4;
2f;319;337;7c98;
2e;31c;33a;823c;
2d;31b;33c;87e0;
2c;31e;33b;8d88;
2b;31e;33c;932c;
2a;31e;33c;98d0;
28;31e;33f;9e74;
28;31f;340;a420;
27;320;33d;a9c0;
26;321;340;af64;
25;323;340;b508;
24;324;341;bab0;
22;320;33f;c054;
23;324;342;c5f8;
22;326;345;cb9c;
21;324;347;d144;
20;326;347;d6e8;
1f;328;345;dc8c;
1e;327;348;e230;
1e;327;349;e7d8;
1d;326;347;ed7c;
1d;32a;348;f320;
1d;327;349;f8c4;
1b;32c;349;fe6c;
1c;32a;34e;418;
1c;32a;348;960;
1b;329;34e;eb0;
1b;328;34d;1404;
1b;32a;34e;19a4;
1a;32a;34f;1f48;
19;32c;351;24f0;
1a;32b;34f;2a94;
19;32f;34f;3038;
19;32b;351;35dc;
19;32d;350;3b84;
18;329;350;4128;
18;32c;350;46cc;
19;329;354;4c70;
18;32d;352;5218;
19;32c;353;57bc;
18;32a;354;5d60;
1a;32b;351;6304;
18;32b;356;68ac;
1a;329;354;6e50;
19;32b;351;73f4;
1a;32b;355;7998;
1a;329;355;7f40;
1a;32c;355;84e4;
1a;32c;357;8a88;
1c;32d;357;902c;
1b;32a;353;95d4;
1d;32b;357;9b78;
1c;329;355;a11c;
1d;32b;354;a6c0;
1e;32d;356;ac68;
1e;32b;358;b20c;
1e;32b;358;b7b0;
1f;32c;357;bd54;
20;32c;355;c2fc;
20;32d;355;c8a0;
22;32b;359;ce44;
22;32b;35a;d3e8;
23;32d;35b;d990;
24;32c;359;df34;
24;32b;358;e4d8;
26;32b;358;ea7c;
26;32a;359;f024;
28;329;359;f5c8;
28;32c;358;fb6c;
29;32b;357;110;
2a;32c;358;660;
2c;329;35c;bb0;
2c;32d;359;1100;
2e;32b;358;16a8;
2f;32d;355;1c4c;
30;32c;358;21f0;
31;32b;357;2794;
32;32c;359;2d3c;
33;32c;358;32e0;
35;32b;358;3884;
37;32a;357;3e28;
36;32a;35a;43d0;
39;32d;356;4974;
3a;32e;359;4f18;
3b;32d;356;54bc;
3d;32a;356;5a64;
3e;32c;353;600c;
40;32a;353;65ac;
42;32b;357;6b50;
43;32b;353;70f8;
44;32a;357;769c;
46;32d;356;7c40;
48;32f;357;81e4;
49;329;356;878c;
4a;329;357;8d30;
4c;32f;355;92d4;
4d;32c;356;9878;
