9328;348;9b60;
51;32a;355;a720;
54;329;354;acc8;
55;32c;34f;b26c;
57;329;34f;b818;
58;32a;353;bdb4;
5a;329;351;c35c;
5b;32a;34f;c900;
5d;32b;350;cea4;
5f;327;34c;d448;
61;326;353;d9f0;
63;328;34f;df94;
64;327;350;e538;
66;325;34e;eadc;
68;325;34e;f084;
6a;322;34c;f628;
6c;327;34c;fbcc;
6e;322;34e;170;
6f;323;34b;6c0;
70;321;34b;c18;
72;31f;34b;1160;
74;324;349;1708;
76;322;34a;1cac;
78;31f;347;2250;
7a;321;346;27f4;
7b;320;345;2d9c;
7e;31f;346;3340;
80;31f;345;38e4;
81;31f;343;3e88;
84;31c;344;4430;
85;31e;344;49d4;
87;322;342;4f78;
89;31e;342;551c;
8a;31e;33d;5ac4;
8c;31e;341;6068;
8e;319;33e;660c;
90;31e;340;6bb0;
91;31c;33d;7158;
94;31b;33b;76fc;
96;31b;33d;7ca0;
97;317;33b;8244;
99;317;33a;87ec;
9a;316;335;8d90;
9c;316;336;9334;
9e;310;335;98d8;
a1;316;338;9e80;
a1;314;335;a424;
a4;311;336;a9c8;
a6;314;334;af6c;
a7;313;332;b514;
a9;313;331;bab8;
ab;312;331;c05c;
ac;311;32f;c600;
ae;313;330;cba8;
b0;311;32f;d14c;
b1;312;32c;d6f0;
b3;311;32b;dc94;
b4;30f;32b;e23c;
b6;311;32c;e7e0;
b8;310;32a;ed84;
b9;311;32a;f328;
ba;312;32b;f8d0;
bc;310;328;fe74;
bd;310;327;420;
bf;30e;327;968;
c0;30f;329;eb8;
c2;312;327;1410;
c3;30e;327;19ac;
c5;310;321;1f54;
c5;30f;321;24f8;
c7;30e;322;2a9c;
c9;30f;31f;3040;
ca;30d;31f;35e8;
cb;30c;320;3b8c;
cc;30a;320;4130;
ce;30c;31d;46d4;
cf;309;320;4c7c;
d0;309;31f;5220;
d1;30b;319;57c4;
d1;30a;31b;5d68;
d3;304;31c;6310;
d4;307;317;68b4;
d5;308;317;6e58;
d6;307;317;73fc;
d7;306;315;79a4;
d7;308;318;7f48;
d9;303;314;84ec;
da;304;314;8a90;
da;300;317;9038;
dc;302;313;95dc;
dc;2fe;317;9b80;
dd;2ff;313;a124;
dd;2fb;311;a6cc;
de;300;311;ac70;
df;2fd;312;b214;
e0;2f9;310;b7b8;
e1;2f9;311;bd60;
e1;2fb;310;c304;
e2;2fb;30e;c8a8;
e2;2fb;311;ce4c;
e1;2fc;30d;d3f4;
e3;2fb;30d;d998;
e3;2fb;30b;df3c;
e4;2fb;30c;e4e0;
e3;2fc;30c;ea88;
e3;2fc;309;f02c;
e4;2fc;30b;f5d0;
e4;2fa;30c;fb74;
e5;2fe;30b;11c;
e5;2fa;308;66c;
e5;2fc;30c;bbc;
e4;2fb;30c;110c;
e4;2fb;308;16b0;
e4;2fb;309;1c54;
e5;2fc;30a;21f8;
e4;2f9;309;27a0;
e5;2fc;30c;2d44;
e6;2fb;30c;32e8;
e6;2f9;30b;388c;
e5;2fa;30a;3e34;
e4;2fb;309;43d8;
e4;2fc;30a;497c;
e4;2f9;30a;4f20;
e4;2fe;309;54c8;
e3;2fb;309;5a6c;
e3;2fd;308;6018;
e2;2ff;309;65b4;
e3;2f9;30c;6b5c;
e1;2fb;30b;7100;
e1;2fb;30b;76a4;
e0;2fc;30a;7c48;
e1;2fb;30d;81f0;
df;2fb;30b;8794;
de;2fc;306;8d38;
de;2f8;307;92dc;
dd;2fe;30a;9884;
dc;2fa;308;9e28;
dc;2fb;30a;a3cc;
dc;2fe;30a;a970;
da;2fe;30b;af18;
da;2fb;309;b4bc;
d8;2fb;30b;ba60;
d7;2fb;30a;c00c;
d6;2fa;308;c5ac;
d6;2fc;30b;cb50;
d4;2fb;30b;d0f4;
d4;2f7;30b;d698;
d3;2fa;308;dc40;
d1;2fc;30a;e1e4;
d1;2f9;30b;e788;
d0;2fd;30b;ed2c;
cf;2fc;30b;f2d4;
ce;2fb;30b;f878;
cd;2fb;30c;fe1c;
ca;2fb;306;3c0;
c9;2fd;309;910;
c9;2f9;307;e60;
c6;2fc;30b;13b0;
c6;2f9;30c;1958;
c4;2fd;30a;1efc;
c2;2fc;307;24a0;
c1;2f8;30b;2a44;
c0;2fc;30a;2fec;
bf;2fc;30a;3590;
bd;2fb;30b;3b34;
bd;2fe;309;40d8;
b9;2fa;30a;4680;
ba;2fe;30c;4c24;
b7;2fb;30b;51c8;
b6;2fa;30b;576c;
b4;2f8;30b;5d14;
b3;2fe;30b;62b8;
b1;2fc;30b;685c;
b0;2f8;30a;6e00;
ae;2fa;30c;73a8;
ac;2fb;30b;794c;
aa;2f9;30a;7ef0;
a9;2fb;309;8494;
a7;2fc;309;8a3c;
a6;2fa;30a;8fe0;
a3;2fb;307;9584;
a2;2fa;30d;9b28;
a0;2f8;309;a0d0;
9e;2fa;30b;a674;
9d;2f8;30b;ac20;
9b;2f9;30b;b1bc;
98;2fd;30a;b764;
98;2fa;30a;bd08;
95;2f9;30c;c2ac;
94;2fa;309;c850;
92;2fc;309;cdf8;
91;2fc;30a;d39c;
8e;2ff;30c;d940;
8c;2fc;30a;dee4;
8b;2fe;308;e48c;
89;2fc;30b;ea30;
86;2ff;30a;efd4;
85;2fc;30b;f578;
83;2fd;30c;fb20;
81;2fc;309;c4;
80;2fc;309;5c0;
7e;2fd;30a;b10;
7c;2fb;30c;1060;
7a;300;30c;1604;
79;2fa;30a;1ba8;
77;2f8;30c;214c;
75;2fd;30a;26f4;
73;2fa;30d;2c98;
72;2fb;30a;323c;
70;2fa;30d;37e0;
6e;2ff;30e;3d88;
6c;2fe;30e;432c;
6a;2fe;30e;48d0;
69;300;30f;4e74;
67;2ff;311;5420;
65;2ff;310;59c0;
62;302;312;5f64;
61;301;312;6508;
5f;303;310;6ab0;
5e;306;314;7054;
5c;308;315;75f8;
5a;306;315;7b9c;
58;305;319;8144;
57;307;31c;86e8;
55;30b;319;8c8c;
53;30c;31b;9230;
52;309;31e;97d8;
4f;30e;31c;9d7c;
4e;30f;320;a320;
4d;30c;31f;a8c4;
4b;311;31f;ae6c;
4a;311;320;b414;
49;311;324;b9b4;
46;316;325;bf58;
45;318;327;c500;
43;317;328;caa4;
42;318;329;d048;
40;319;32a;d5ec;
3f;315;32f;db94;
3d;31b;32c;e138;
3c;319;331;e6dc;
3b;317;32d;ec80;
3a;319;32e;f228;
38;319;332;f7cc;
37;319;333;fd70;
35;31c;334;314;
34;317;334;864;
33;319;335;db4;
31;31c;336;1304;
31;317;339;18ac;
30;317;337;1e50;
2e;31d;339;23f4;
2c;31c;339;2998;
2d;31d;33b;2f40;
2b;31c;338;34e4;
29;31d;33c;3a88;
2a;31d;33e;402c;
27;320;33c;45d4;
27;320;33f;4b78;
26;31f;340;511c;
25;320;33f;56c0;
24;321;33f;5c68;
24;322;340;620c;
22;321;341;67b0;
22;324;342;6d54;
21;325;343;72fc;
20;324;340;78a0;
1f;328;347;7e44;
1f;328;347;83e8;
1f;32b;34a;8990;
1e;328;347;8f34;
1c;329;34a;94d8;
1d;328;34b;9a7c;
1c;32a;34e;a024;
1c;32b;34c;a5c8;
1c;328;34b;ab6c;
1b;32a;34c;b110;
1a;329;34e;b6b8;
19;329;34b;bc5c;
1a;32a;34d;c200;
1b;329;34f;c7a4;
19;32e;34d;cd4c;
19;32b;34f;d2f0;
19;328;350;d894;
19;32a;34f;de38;
19;32c;34e;e3e0;
18;32a;352;e984;
19;32d;351;ef28;
1a;32c;352;f4cc;
18;32a;354;fa74;
18;327;353;1c;
19;32c;351;514;
19;32a;355;a64;
19;32c;357;fb4;
1a;32b;351;1504;
1a;32c;353;1aa8;
1a;32d;355;204c;
1a;32a;359;25f0;
1b;32c;355;2b98;
1b;32b;356;313c;
1c;32a;355;36e0;
1b;32c;357;3c84;
1c;32a;356;422c;
1d;32e;354;47d0;
1e;32d;357;4d74;
1e;32b;358;5318;
1e;32c;356;58c0;
1f;32b;355;5e64;
20;32c;353;6410;
21;32b;358;69ac;
22;32c;357;6f54;
23;329;356;74f8;
23;32e;359;7a9c;
24;328;356;8040;
25;328;358;85e8;
25;32c;356;8b8c;
27;32b;358;9130;
27;327;356;96d4;
27;32c;358;9c7c;
28;32a;357;a220;
2b;32b;358;a7c4;
2c;327;355;ad68;
2c;32a;358;b310;
2e;32b;356;b8b4;
2e;328;356;be58;
30;328;358;c3fc;
31;32c;358;c9a4;
32;32b;355;cf48;
33;32c;356;d4ec;
34;32c;357;da90;
36;32b;355;e038;
36;32e;358;e5dc;
39;32a;357;eb80;
3a;32c;358;f124;
3b;32b;358;f6cc;
3c;32b;358;fc70;
3e;32d;357;214;
3f;32a;357;764;
41;32c;354;cb4;
43;32d;355;1204;
44;32c;356;17a8;
46;32a;354;1d50;
47;32b;353;22f4;
48;329;356;2898;
4a;329;356;2e3c;
4b;32b;354;33e4;
4d;32c;355;3988;
4e;32a;352;3f2c;
50;329;354;44d0;
52;32a;353;4a78;
53;329;354;5020;
56;32b;352;55c0;
57;32c;353;5b64;
59;32b;354;610c;
5b;327;351;66b0;
5d;32b;34f;6c54;
5e;325;351;71f8;
60;327;351;77a0;
61;325;351;7d44;
63;329;34f;82e8;
66;327;34b;888c;
67;325;34d;8e34;
68;324;34d;93d8;
6a;324;34c;997c;
6c;324;34c;9f20;
6e;321;34c;a4c8;
70;326;349;aa6c;
72;321;34b;b018;
74;320;348;b5b4;
76;321;346;bb5c;
77;31f;347;c100;
7a;31e;347;c6a4;
7b;323;347;cc48;
7d;321;346;d1f0;
7f;31e;345;d794;
81;31d;344;dd38;
82;31e;342;e2dc;
84;31d;344;e884;
87;31e;346;ee28;
88;31e;33f;f3cc;
8a;31b;33f;f970;
8c;31d;33e;ff18;
8e;31c;33d;4bc;
90;31b;33e;a0c;
91;31a;33c;f5c;
93;319;33e;14ac;
94;319;33b;1a50;
97;318;338;1ff4;
98;316;33a;259c;
9a;317;339;2b40;
9c;316;338;30e4;
9d;313;337;3688;
a0;313;336;3c30;
a1;315;335;41d4;
a2;314;336;4778;
a5;313;336;4d1c;
a7;314;333;52c4;
a8;314;330;5868;
a9;30f;330;5e0c;
ab;313;32f;63b0;
ad;314;32d;6958;
ae;310;32e;6efc;
b0;313;32d;74a0;
b2;316;32e;7a44;
b4;30f;32c;7fec;
b5;313;32b;8590;
b7;312;329;8b34;
b8;30f;32b;90d8;
ba;310;329;9680;
bb;311;329;9c24;
bc;30c;325;a1c8;
be;30e;327;a76c;
c0;30f;325;ad14;
c1;30c;323;b2b8;
c3;310;322;b85c;
c4;30e;321;be00;
c5;30a;324;c3a8;
c6;30e;321;c94c;
c8;30e;31f;cef0;
c9;30b;320;d494;
ca;30c;31f;da3c;
ca;30b;31e;dfe0;
cd;30b;31f;e584;
cd;30b;31e;eb28;
ce;30d;31b;f0d0;
d0;30a;31b;f674;
d0;309;317;fc20;
d3;309;31e;1bc;
d3;306;31b;70c;
d5;307;319;c5c;
d6;307;31a;11ac;
d7;306;318;1754;
d7;303;314;1cf8;
d8;305;316;229c;
da;303;316;2840;
d9;303;315;2de8;
db;303;316;338c;
dc;2fd;316;3930;
dc;2fe;313;3ed4;
dd;2fe;316;447c;
dd;2fc;315;4a20;
df;2fc;30e;4fc4;
de;2fa;30e;5568;
e0;2fa;310;5b10;
e0;2fb;30d;60b4;
e1;2fc;30e;6658;
e2;2fb;310;6bfc;
e2;2fa;30b;71a4;
e2;2fa;30b;7748;
e3;2f9;30e;7cec;
e3;2fc;30e;8290;
e3;2f8;30d;8838;
e4;2fb;30c;8ddc;
e4;2fb;30a;9380;
e4;2fb;30b;9924;
e5;2fa;30a;9ecc;
e4;2fc;30c;a470;
e4;2f9;308;aa14;
e5;2f9;30c;afb8;
e6;2fd;309;b560;
e5;2fe;307;bb04;
e5;2fb;30d;c0a8;
e5;2fa;308;c64c;
e6;2fd;30c;cbf4;
e4;2f9;309;d198;
e5;2fb;308;d73c;
e5;2fb;30a;dce0;
e4;2fa;30b;e288;
e4;2f7;307;e82c;
e4;2fb;309;edd0;
e4;2f9;30c;f374;
e3;2ff;30b;f91c;
e3;2fe;309;fec0;
e3;2fb;30a;464;
e2;2fd;30c;9b4;
e2;2fb;309;f04;
e2;2fa;30a;1454;
e0;2fb;30b;19f8;
df;2fc;30c;1fa0;
df;2fa;30a;2544;
e0;2fc;30c;2ae8;
de;2fd;30b;308c;
dd;2fa;308;3634;
de;2fd;30d;3bd8;
dd;2fc;309;417c;
dc;2fa;30a;4720;
db;2fb;30b;4cc8;
da;2fb;308;526c;
da;2fb;309;5818;
d9;2fc;30a;5db4;
d7;2fd;30c;635c;
d6;2fa;30a;6900;
d5;2fc;30a;6ea4;
d4;2fb;309;7448;
d3;2f8;309;79f0;
d3;2fc;308;7f94;
d2;2fc;30b;8538;
d0;2f9;30c;8adc;
cf;2fc;30a;9084;
ce;2fc;30b;9628;
cd;2f7;308;9bcc;
cc;2fc;30a;a170;
ca;2fc;30b;a718;
ca;2f6;30a;acbc;
c7;2fc;30c;b260;
c7;2fa;307;b80c;
c5;2fd;30c;bdac;
c3;2fc;30c;c350;
c2;2fc;30b;c8f4;
c2;2fb;309;ce98;
bf;2fc;30d;d440;
bf;2fb;308;d9e4;
bd;2fb;30c;df88;
bb;2fb;309;e52c;
ba;2fb;30b;ead4;
b8;2fa;309;f078;
b7;2ff;309;f61c;
b4;2fc;309;fbc0;
b4;2fb;30b;168;
b2;2fc;309;6b8;
b0;2fe;30a;c0c;
af;2fa;30d;1158;
ad;2fc;309;16fc;
ac;2fb;30a;1ca0;
aa;2fb;307;2244;
a8;2fb;309;27ec;
a6;2fd;309;2d90;
a5;2f9;309;3334;
a3;2f9;30d;38d8;
a0;2fa;30b;3e80;
9f;2f8;309;4424;
9d;2fc;30c;49c8;
9c;2fb;30a;4f6c;
9a;2fb;30a;5514;
99;2fa;30a;5ab8;
97;2fa;30a;605c;
94;2fa;30d;6600;
93;2fc;30b;6ba8;
91;2fc;30b;714c;
8f;2fa;30a;76f0;
8e;2fa;309;7c94;
8c;2fc;307;823c;
8a;2f9;30a;87e0;
88;2fe;309;8d84;
86;2fc;30a;9328;
85;2fb;30b;98d0;
82;2fc;307;9e74;
80;2fc;30b;a420;
7f;2f7;30c;a9bc;
7c;2fc;30b;af64;
7b;2fc;30b;b508;
79;2fd;30c;baac;
78;2fa;309;c050;
76;2fb;30b;c5f8;
74;2fc;30d;cb9c;
72;2fd;30d;d140;
70;2fa;30b;d6e4;
6e;2fc;30e;dc8c;
6d;2fd;30c;e230;
6a;2fe;30b;e7d4;
69;2fd;311;ed78;
67;2fe;30f;f320;
65;2ff;30f;f8c4;
64;2ff;30f;fe68;
61;301;313;414;
60;300;312;95c;
5e;302;310;eac;
5d;304;314;13fc;
5a;304;315;19a4;
59;305;318;1f48;
57;309;31b;24ec;
55;309;319;2a90;
54;30b;31a;3038;
52;30c;319;35dc;
51;30c;31d;3b80;
4f;30e;320;4124;
4d;30d;31f;46cc;
4b;310;321;4c70;
4b;30f;321;5214;
49;313;324;57b8;
47;313;321;5d60;
46;313;323;6304;
44;317;328;68a8;
43;318;327;6e4c;
41;318;32a;73f4;
40;31a;32a;7998;
3e;31c;32b;7f3c;
3d;319;32c;84e0;
3b;318;32e;8a88;
39;319;333;902c;
38;319;32e;95d0;
38;31a;331;9b74;
36;318;331;a11c;
35;318;334;a6c0;
34;31c;336;ac64;
32;31a;334;b208;
31;319;337;b7b0;
2f;31c;337;bd54;
2f;31b;337;c2f8;
2e;31b;33a;c89c;
2c;319;338;ce44;
2b;31b;339;d3e8;
2a;31b;33a;d98c;
28;31d;33d;df30;
28;31d;33f;e4d8;
27;31b;340;ea7c;
26;31d;33d;f020;
25;31e;33e;f5c4;
25;320;340;fb6c;
24;320;340;110;
24;321;344;660;
22;324;344;bb0;
21;326;343;1100;
20;326;347;16a4;
20;324;346;1c48;
1f;328;345;21f0;
1e;329;348;2794;
1e;327;34a;2d38;
1e;327;349;32dc;
1d;32a;34b;3884;
1d;32a;34c;3e28;
1c;32a;349;43cc;
1b;32a;34d;4970;
1c;329;34e;4f18;
1b;32e;34b;54bc;
1a;32b;34f;5a60;
1a;32e;34e;600c;
1a;32f;34b;65ac;
19;32c;34e;6b50;
1a;32b;350;70f4;
19;32a;34f;7698;
19;32b;350;7c40;
19;32b;350;81e4;
19;32b;351;8788;
19;32c;352;8d2c;
18;32c;354;92d4;
19;32e;353;9878;
19;32c;352;9e1c;
19;32b;354;a3c0;
19;32c;353;a968;
1a;32a;353;af0c;
1a;32d;356;b4b0;
1a;32c;353;ba54;
1a;32c;359;bffc;
1c;32b;354;c5a0;
1b;32c;357;cb44;
1c;32c;351;d0e8;
1c;32b;356;d690;
1c;32c;355;dc34;
1b;32e;356;e1d8;
1d;32c;357;e77c;
1d;32c;353;ed24;
1d;32c;357;f2c8;
1e;328;357;f86c;
1e;32d;355;fe10;
1f;32c;357;3b8;
20;32d;358;908;
21;32b;355;e58;
22;32d;356;13a8;
23;329;357;194c;
24;32b;359;1ef0;
24;32c;358;2494;
25;32c;357;2a3c;
26;32d;359;2fe0;
27;32c;356;3584;
27;32c;35a;3b28;
29;32a;356;40d0;
29;32e;357;4674;
2b;32a;355;4c20;
2d;32e;354;51bc;
2d;32a;357;5764;
2f;329;35b;5d08;
2f;32a;356;62ac;
30;32e;357;6850;
32;32b;358;6df8;
33;32e;358;739c;
34;32c;359;7940;
35;32b;35a;7ee4;
37;32a;355;848c;
38;32a;359;8a30;
3a;329;357;8fd4;
3b;329;354;9578;
3c;32c;356;9b20;
3e;32d;356;a0c4;
3f;32d;35a;a668;
41;32d;357;ac14;
42;32b;356;b1b4;
43;32e;357;b758;
45;32b;356;bcfc;
47;32c;355;c2a0;
49;32d;351;c848;
49;32e;356;cdec;
4b;32a;352;d390;
4d;32f;353;d934;
4f;32c;353;dedc;
50;32b;356;e480;
52;32c;354;ea24;
53;32c;353;efc8;
56;329;354;f570;
57;32b;351;fb14;
59;329;350;b8;
59;32b;355;5b4;
5b;32a;353;b04;
5e;326;350;1054;
60;327;350;15f8;
61;328;34d;1b9c;
62;327;34f;2144;
64;328;34f;26e8;
65;325;34d;2c8c;
69;323;352;3230;
6a;325;34e;37d8;
6b;324;34d;3d7c;
6e;322;34b;4320;
6f;326;34a;48c4;
71;324;349;4e6c;
73;31f;34b;5414;
75;323;349;59b4;
77;324;348;5f58;
79;31e;347;6500;
7a;320;345;6aa4;
7c;31f;346;7048;
7e;31d;346;75ec;
80;31e;343;7b94;
82;320;342;8138;
84;31e;343;86dc;
85;31f;344;8c80;
87;31f;340;9228;
89;320;340;97cc;
8b;320;340;9d70;
8c;320;343;a314;
8f;31e;341;a8bc;
91;31d;33f;ae60;
93;317;33d;b40c;
95;318;33d;b9a8;
96;319;33a;bf50;
98;318;33b;c4f4;
9a;315;338;ca98;
9b;316;338;d03c;
9d;314;338;d5e4;
9f;316;339;db88;
a1;314;334;e12c;
a2;314;335;e6d0;
a4;312;335;ec78;
a6;313;332;f21c;
a7;312;333;f7c0;
a9;311;330;fd64;
ab;311;32f;30c;
ad;311;330;85c;
ae;30f;32e;dac;
b0;315;32d;12fc;
b1;316;32e;18a0;
b2;30f;32e;1e44;
b5;315;32c;23e8;
b6;30f;328;2990;
b8;30f;32b;2f34;
ba;312;32c;34d8;
bb;312;328;3a7c;
bc;30f;328;4024;
be;313;327;45c8;
bf;30f;326;4b6c;
c1;30e;324;5110;
c2;310;325;56b8;
c4;30d;324;5c5c;
c4;30f;320;6200;
c6;30d;321;67a4;
c7;30e;320;6d4c;
c9;30f;320;72f0;
c9;30c;31f;7894;
cb;30c;31d;7e38;
cc;30b;31e;83e0;
cd;309;319;8984;
ce;308;31e;8f28;
cf;30b;31b;94cc;
d1;30c;31b;9a74;
d2;30a;319;a01c;
d4;308;318;a5bc;
d3;308;319;ab60;
d4;307;319;b108;
d6;306;318;b6ac;
d7;307;318;bc50;
d7;306;318;c1f4;
d9;304;316;c79c;
d9;304;318;cd40;
da;302;312;d2e4;
db;2fe;316;d888;
db;2ff;314;de30;
dd;302;314;e3d4;
de;2fd;311;e978;
de;2fd;311;ef1c;
de;2fc;310;f4c4;
e0;2fc;312;fa68;
e0;2fd;311;14;
e0;2fa;311;508;
e2;2fd;310;a58;
e2;2fb;30e;fa8;
e3;2fa;30f;14f8;
e2;2fb;30d;1a9c;
e3;2f9;30c;2040;
e4;2fe;30d;25e8;
e4;2fd;30b;2b8c;
e4;2f9;30d;3130;
e4;2fc;30c;36d4;
e4;2fa;30b;3c7c;
e5;2fa;30b;4220;
e4;2fb;309;47c4;
e5;2fc;30a;4d68;
e4;2fc;30b;5310;
e5;2f9;308;58b4;
e4;2f9;309;5e58;
e5;2fc;30b;63fc;
e5;2f9;30c;69a4;
e4;2fc;309;6f48;
e5;2fd;30e;74ec;
e4;2fc;30b;7a90;
e4;2fd;30a;8038;
e5;2f9;30c;85dc;
e5;2ff;30b;8b80;
e2;2fb;30b;9124;
e3;2fb;30c;96cc;
e3;2fc;30c;9c70;
e3;2f9;30e;a214;
e2;2f6;30b;a7b8;
e3;2fd;308;ad60;
e0;2fb;30b;b304;
e1;2fb;30c;b8a8;
e1;2fc;30b;be4c;
e0;2fb;30b;c3f4;
e0;2fd;30a;c998;
df;2fc;30a;cf3c;
dd;2fb;30a;d4e0;
dd;2fd;309;da88;
dd;2fd;308;e02c;
dc;2fb;309;e5d0;
db;2f9;30d;eb74;
da;2fd;309;f11c;
d9;2fc;30b;f6c0;
d9;2f9;30a;fc64;
d8;2fd;30b;208;
d7;2f9;30a;758;
d6;2fb;30a;ca8;
d5;2fb;30a;11f8;
d4;2fc;30a;17a0;
d3;2fb;309;1d44;
d1;2fd;30a;22e8;
d0;2fc;309;288c;
d0;2fa;30c;2e34;
cf;2fc;30b;33d8;
cd;2fc;309;397c;
cc;2f9;30d;3f20;
cb;2fc;309;44c8;
c9;2fe;30d;4a6c;
c9;2fa;309;5018;
c7;2fc;309;55b4;
c6;2fc;30b;5b5c;
c5;2fa;30b;6100;
c3;2fd;308;66a4;
c2;2fb;30a;6c48;
c0;2fa;30a;71f0;
bf;2fa;309;7794;
bd;2fe;30e;7d38;
bd;2fb;309;82dc;
bb;2fb;30b;8884;
b9;2fb;30a;8e28;
b7;2fa;30a;93cc;
b5;2fc;30c;9970;
b4;2fb;309;9f18;
b3;2fb;30c;a4bc;
b2;2fd;309;aa60;
b0;2fc;30b;b00c;
ae;2fb;30b;b5ac;
ad;2fc;30c;bb50;
aa;2fb;30a;c0f4;
a9;2f9;30b;c698;
a7;2fe;309;cc40;
a5;2fb;30a;d1e4;
a4;2fa;30c;d788;
a2;2fb;309;dd2c;
a0;2fc;309;e2d4;
9f;2fb;309;e878;
9c;2fe;309;ee1c;
9b;2fc;309;f3c0;
98;2fa;307;f968;
97;2fb;309;ff0c;
95;2fc;30c;4b0;
94;2fb;30c;a00;
93;2fb;30a;f50;
90;2fc;30a;14a0;
8e;2fc;30a;1a44;
8c;2fc;309;1fec;
8a;2fb;309;2590;
89;2f8;30b;2b34;
87;2fb;30a;30d8;
85;2fc;309;3680;
84;2f9;30b;3c24;
82;2fb;30f;41c8;
80;2fc;30a;476c;
7e;2fb;30a;4d14;
7d;2ff;30d;52b8;
7b;2fc;30b;585c;
79;2fc;30a;5e00;
77;2fd;30d;63a8;
75;2fc;309;694c;
72;2fb;30d;6ef0;
71;2fe;30d;7494;
6f;2fd;30e;7a3c;
6e;2fd;30e;7fe0;
6b;300;30b;8584;
69;2ff;30d;8b28;
68;2fb;30d;90d0;
66;300;310;9674;
64;2fe;30e;9c20;
63;2fd;312;a1bc;
61;301;310;a764;
5f;300;318;ad08;
5d;300;316;b2ac;
5b;307;316;b850;
59;306;316;bdf8;
58;30b;319;c39c;
56;308;318;c940;
55;30c;31a;cee4;
53;30e;31c;d48c;
52;310;31e;da30;
4f;30f;31d;dfd4;
4d;311;322;e578;
4c;314;320;eb20;
4b;316;320;f0c4;
4a;316;324;f668;
48;313;324;fc14;
46;319;327;1b4;
43;316;326;704;
44;316;326;c54;
42;314;32a;11a4;
41;315;32a;1748;
3f;318;329;1cec;
3d;31a;32b;2290;
3d;318;32e;2838;
3a;319;32d;2ddc;
39;31a;330;3380;
38;318;330;3924;
36;319;331;3ecc;
35;317;333;4470;
35;318;334;4a14;
33;318;335;4fb8;
32;31b;333;5560;
30;31b;337;5b04;
30;318;336;60a8;
2e;31a;33d;664c;
2d;317;339;6bf4;
2c;31f;335;7198;
2b;31b;33d;773c;
2a;319;33b;7ce0;
29;31e;33d;8288;
27;320;33d;882c;
27;31f;340;8dd0;
25;31f;341;9374;
25;324;33f;991c;
24;31f;344;9ec0;
23;320;340;a464;
22;320;343;aa08;
22;323;342;afb0;
21;324;344;b554;
20;326;346;baf8;
20;323;346;c09c;
1f;328;345;c644;
1f;328;348;cbe8;
1e;329;347;d18c;
1d;32a;349;d730;
1c;329;347;dcd8;
1c;327;349;e27c;
1c;329;34c;e820;
1b;32c;34d;edc4;
1b;32c;34e;f36c;
1b;32b;34c;f910;
1b;32b;34d;feb4;
1a;32b;350;458;
19;32b;350;9a8;
19;32b;34f;ef8;
1a;32a;350;1448;
18;32b;354;19f0;
19;32b;350;1f94;
19;32b;34f;2538;
1a;32b;352;2adc;
19;32c;356;3084;
1a;32b;354;3628;
19;32b;353;3bcc;
19;32b;351;4170;
19;32c;354;4718;
19;32f;355;4cbc;
18;32d;355;5260;
1a;32b;355;580c;
19;32c;353;5dac;
1a;32a;357;6350;
1b;32c;356;68f4;
1b;32a;355;6e98;
1b;32c;354;7440;
1c;32a;356;79e4;
1c;32b;355;7f88;
1d;32c;356;852c;
1c;32c;356;8ad4;
1e;330;352;9078;
1e;32c;357;961c;
1f;32d;356;9bc0;
1f;32a;359;a168;
20;329;356;a70c;
21;32b;35c;acb0;
21;32c;356;b254;
21;32e;359;b7fc;
23;329;358;bda0;
24;32c;357;c344;
24;32c;359;c8e8;
26;32b;357;ce90;
26;32c;357;d434;
27;32c;356;d9d8;
29;32b;358;df7c;
29;32e;358;e524;
2a;32e;356;eac8;
2c;32a;35a;f06c;
2d;32b;358;f610;
2e;32d;357;fbb8;
2f;329;358;15c;
2f;32b;357;6ac;
30;32d;357;bfc;
33;32c;358;114c;
34;32b;35a;16f0;
35;32e;357;1c94;
36;32c;356;223c;
38;32f;358;27e0;
39;330;357;2d84;
3b;32a;356;3328;
3b;32a;355;38d0;
3d;32c;359;3e74;
3f;32a;353;4420;
40;32d;354;49bc;
41;32d;359;4f64;
42;32b;359;5508;
44;32c;355;5aac;
45;32c;358;6050;
47;329;354;65f8;
49;32d;358;6b9c;
4b;32c;353;7140;
4c;329;353;76e4;
4d;32d;353;7c8c;
4e;32c;353;8230;
51;32d;352;87d4;
53;32b;354;8d78;
53;32a;354;9320;
56;32b;355;98c4;
58;32c;352;9e68;
59;329;354;a414;
5b;328;350;a9b4;
5d;328;350;af58;
5e;32a;34f;b4fc;
60;328;34e;baa0;
62;327;350;c048;
63;327;34d;c5ec;
65;323;34f;cb90;
68;325;34c;d134;
69;325;34b;d6dc;
6b;31f;34b;dc80;
6d;323;34d;e224;
6f;322;34a;e7c8;
71;31f;348;ed70;
73;322;34a;f314;
74;322;348;f8b8;
76;31f;348;fe5c;
78;321;347;408;
79;31f;348;954;
7b;31e;347;ea4;
7d;320;343;13f4;
7e;320;346;1998;
81;31e;344;1f3c;
83;323;342;24e0;
85;322;343;2a88;
86;320;342;302c;
88;31f;341;35d0;
8a;31d;33e;3b74;
8c;31f;340;411c;
8e;31e;340;46c0;
8f;31e;33d;4c64;
91;318;33d;5208;
93;31a;33b;57b0;
94;318;33b;5d54;
96;315;33a;62f8;
99;316;338;689c;
9b;317;337;6e44;
