x-axis,1,2,3
second,Volt,Volt,Volt
-1.517500E+00,+4.326633E+00,+3.562814E+00,+13.115578E+00
-1.515000E+00,+4.366834E+00,+3.683417E+00,+10.138191E+00
-1.512500E+00,+4.366834E+00,+3.690955E+00,+9.422111E+00
-1.510000E+00,+4.326633E+00,+3.778894E+00,+8.932161E+00
-1.507500E+00,+4.326633E+00,+3.924623E+00,+7.160804E+00
-1.505000E+00,+4.261307E+00,+3.899497E+00,+7.085427E+00
-1.502500E+00,+4.206030E+00,+3.987437E+00,+7.010050E+00
-1.500000E+00,+4.165829E+00,+3.924623E+00,+4.170854E+00
-1.497500E+00,+4.085427E+00,+4.020100E+00,+3.592965E+00
-1.495000E+00,+3.979899E+00,+3.964824E+00,+3.190955E+00
-1.492500E+00,+3.884422E+00,+4.020100E+00,+778.894E-03
-1.490000E+00,+3.804020E+00,+4.052764E+00,+502.513E-03
-1.487500E+00,+3.683417E+00,+3.987437E+00,-1.708543E+00
-1.485000E+00,+3.562814E+00,+4.020100E+00,-2.512563E+00
-1.482500E+00,+3.442211E+00,+3.939698E+00,-2.952261E+00
-1.480000E+00,+3.281407E+00,+3.979899E+00,-1.432161E+00
-1.477500E+00,+3.183417E+00,+3.778894E+00,-1.545226E+00
-1.475000E+00,+3.022613E+00,+3.804020E+00,-1.633166E+00
-1.472500E+00,+2.856784E+00,+3.570352E+00,+778.894E-03
-1.470000E+00,+2.718593E+00,+3.577889E+00,+703.518E-03
-1.467500E+00,+2.535176E+00,+3.344221E+00,+175.879E-03
-1.465000E+00,+2.422111E+00,+3.256281E+00,+703.518E-03
-1.462500E+00,+2.261307E+00,+3.103015E+00,+665.829E-03
-1.460000E+00,+2.115578E+00,+2.919598E+00,+829.146E-03
-1.457500E+00,+1.954774E+00,+2.889447E+00,-1.834171E+00
-1.455000E+00,+1.793970E+00,+2.615578E+00,-2.185930E+00
-1.452500E+00,+1.658291E+00,+2.638191E+00,-3.555276E+00
-1.450000E+00,+1.489950E+00,+2.407035E+00,-3.957287E+00
-1.447500E+00,+1.376884E+00,+2.437186E+00,-4.045226E+00
-1.445000E+00,+1.256281E+00,+2.221106E+00,-3.241206E+00
-1.442500E+00,+1.135678E+00,+2.188442E+00,-5.000000E+00
-1.440000E+00,+1.015075E+00,+2.035176E+00,-5.804020E+00
-1.437500E+00,+909.548E-03,+1.891960E+00,-5.050251E+00
-1.435000E+00,+829.146E-03,+1.819095E+00,-4.723618E+00
-1.432500E+00,+708.543E-03,+1.633166E+00,-4.798995E+00
-1.430000E+00,+628.141E-03,+1.592965E+00,-5.050251E+00
-1.427500E+00,+587.940E-03,+1.417085E+00,-5.012563E+00
-1.425000E+00,+507.538E-03,+1.417085E+00,-3.040201E+00
-1.422500E+00,+467.337E-03,+1.256281E+00,-3.391960E+00
-1.420000E+00,+427.136E-03,+1.256281E+00,-3.442211E+00
-1.417500E+00,+427.136E-03,+1.095477E+00,-2.638191E+00
-1.415000E+00,+427.136E-03,+1.087940E+00,+942.211E-03
-1.412500E+00,+427.136E-03,+989.950E-03,+1.871859E+00
-1.410000E+00,+427.136E-03,+846.734E-03,+2.788945E+00
-1.407500E+00,+452.261E-03,+829.146E-03,+4.195980E+00
-1.405000E+00,+484.925E-03,+708.543E-03,+4.158291E+00
-1.402500E+00,+547.739E-03,+726.131E-03,+5.314070E+00
-1.400000E+00,+653.266E-03,+628.141E-03,+8.417085E+00
-1.397500E+00,+708.543E-03,+668.342E-03,+9.095477E+00
-1.395000E+00,+788.945E-03,+587.940E-03,+8.932161E+00
-1.392500E+00,+869.347E-03,+620.603E-03,+10.829146E+00
-1.390000E+00,+989.950E-03,+613.065E-03,+11.344221E+00
